object_name,label_family,query_string,query_goal,recommended_source_type,priority_rank,priority_bin
F563-V2,burstiness,"""F563-V2"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",5,minimum_25_pool
F563-V2,centroid offset,"""F563-V2"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,5,minimum_25_pool
F563-V2,external morphology,"""F563-V2"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,5,minimum_25_pool
F563-V2,lopsidedness,"""F563-V2"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,5,minimum_25_pool
F563-V2,warp / PA twist,"""F563-V2"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,5,minimum_25_pool
F568-V1,A/R mismatch,"""F568-V1"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,6,minimum_25_pool
F568-V1,H I asymmetry,"""F568-V1"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,6,minimum_25_pool
F568-V1,SFE/depletion,"""F568-V1"" ""star formation efficiency"" ""depletion time"" ""H I""",Acquire same-object Tier A map-level/dynamical label for SFE/depletion,same-object SFR plus H I/H2 gas mass/depletion measurements,6,minimum_25_pool
F568-V1,Vrot/sigma,"""F568-V1"" ""Vrot"" ""sigma"" ""velocity dispersion""",Acquire same-object Tier A map-level/dynamical label for Vrot/sigma,resolved kinematic survey or velocity-dispersion/rotation measurements,6,minimum_25_pool
F568-V1,burstiness,"""F568-V1"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",6,minimum_25_pool
F568-V1,centroid offset,"""F568-V1"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,6,minimum_25_pool
F568-V1,external morphology,"""F568-V1"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,6,minimum_25_pool
F568-V1,lopsidedness,"""F568-V1"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,6,minimum_25_pool
F568-V1,warp / PA twist,"""F568-V1"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,6,minimum_25_pool
F583-1,A/R mismatch,"""F583-1"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,7,minimum_25_pool
F583-1,H I asymmetry,"""F583-1"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,7,minimum_25_pool
F583-1,SFE/depletion,"""F583-1"" ""star formation efficiency"" ""depletion time"" ""H I""",Acquire same-object Tier A map-level/dynamical label for SFE/depletion,same-object SFR plus H I/H2 gas mass/depletion measurements,7,minimum_25_pool
F583-1,Vrot/sigma,"""F583-1"" ""Vrot"" ""sigma"" ""velocity dispersion""",Acquire same-object Tier A map-level/dynamical label for Vrot/sigma,resolved kinematic survey or velocity-dispersion/rotation measurements,7,minimum_25_pool
F583-1,burstiness,"""F583-1"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",7,minimum_25_pool
F583-1,centroid offset,"""F583-1"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,7,minimum_25_pool
F583-1,external morphology,"""F583-1"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,7,minimum_25_pool
F583-1,lopsidedness,"""F583-1"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,7,minimum_25_pool
F583-1,warp / PA twist,"""F583-1"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,7,minimum_25_pool
NGC0100,A/R mismatch,"""NGC0100"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,8,minimum_25_pool
NGC0100,H I asymmetry,"""NGC0100"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,8,minimum_25_pool
NGC0100,SFE/depletion,"""NGC0100"" ""star formation efficiency"" ""depletion time"" ""H I""",Acquire same-object Tier A map-level/dynamical label for SFE/depletion,same-object SFR plus H I/H2 gas mass/depletion measurements,8,minimum_25_pool
NGC0100,Vrot/sigma,"""NGC0100"" ""Vrot"" ""sigma"" ""velocity dispersion""",Acquire same-object Tier A map-level/dynamical label for Vrot/sigma,resolved kinematic survey or velocity-dispersion/rotation measurements,8,minimum_25_pool
NGC0100,burstiness,"""NGC0100"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",8,minimum_25_pool
NGC0100,centroid offset,"""NGC0100"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,8,minimum_25_pool
NGC0100,external morphology,"""NGC0100"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,8,minimum_25_pool
NGC0100,lopsidedness,"""NGC0100"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,8,minimum_25_pool
NGC0100,warp / PA twist,"""NGC0100"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,8,minimum_25_pool
NGC1003,A/R mismatch,"""NGC1003"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,9,minimum_25_pool
NGC1003,H I asymmetry,"""NGC1003"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,9,minimum_25_pool
NGC1003,SFE/depletion,"""NGC1003"" ""star formation efficiency"" ""depletion time"" ""H I""",Acquire same-object Tier A map-level/dynamical label for SFE/depletion,same-object SFR plus H I/H2 gas mass/depletion measurements,9,minimum_25_pool
NGC1003,Vrot/sigma,"""NGC1003"" ""Vrot"" ""sigma"" ""velocity dispersion""",Acquire same-object Tier A map-level/dynamical label for Vrot/sigma,resolved kinematic survey or velocity-dispersion/rotation measurements,9,minimum_25_pool
NGC1003,burstiness,"""NGC1003"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",9,minimum_25_pool
NGC1003,centroid offset,"""NGC1003"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,9,minimum_25_pool
NGC1003,external morphology,"""NGC1003"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,9,minimum_25_pool
NGC1003,lopsidedness,"""NGC1003"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,9,minimum_25_pool
NGC1003,warp / PA twist,"""NGC1003"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,9,minimum_25_pool
NGC3109,A/R mismatch,"""NGC3109"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,10,minimum_25_pool
NGC3109,H I asymmetry,"""NGC3109"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,10,minimum_25_pool
NGC3109,SFE/depletion,"""NGC3109"" ""star formation efficiency"" ""depletion time"" ""H I""",Acquire same-object Tier A map-level/dynamical label for SFE/depletion,same-object SFR plus H I/H2 gas mass/depletion measurements,10,minimum_25_pool
NGC3109,Vrot/sigma,"""NGC3109"" ""Vrot"" ""sigma"" ""velocity dispersion""",Acquire same-object Tier A map-level/dynamical label for Vrot/sigma,resolved kinematic survey or velocity-dispersion/rotation measurements,10,minimum_25_pool
NGC3109,burstiness,"""NGC3109"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",10,minimum_25_pool
NGC3109,centroid offset,"""NGC3109"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,10,minimum_25_pool
NGC3109,external morphology,"""NGC3109"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,10,minimum_25_pool
NGC3109,lopsidedness,"""NGC3109"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,10,minimum_25_pool
NGC3109,warp / PA twist,"""NGC3109"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,10,minimum_25_pool
NGC3741,A/R mismatch,"""NGC3741"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,11,minimum_25_pool
NGC3741,H I asymmetry,"""NGC3741"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,11,minimum_25_pool
NGC3741,SFE/depletion,"""NGC3741"" ""star formation efficiency"" ""depletion time"" ""H I""",Acquire same-object Tier A map-level/dynamical label for SFE/depletion,same-object SFR plus H I/H2 gas mass/depletion measurements,11,minimum_25_pool
NGC3741,Vrot/sigma,"""NGC3741"" ""Vrot"" ""sigma"" ""velocity dispersion""",Acquire same-object Tier A map-level/dynamical label for Vrot/sigma,resolved kinematic survey or velocity-dispersion/rotation measurements,11,minimum_25_pool
NGC3741,burstiness,"""NGC3741"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",11,minimum_25_pool
NGC3741,centroid offset,"""NGC3741"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,11,minimum_25_pool
NGC3741,external morphology,"""NGC3741"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,11,minimum_25_pool
NGC3741,lopsidedness,"""NGC3741"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,11,minimum_25_pool
NGC3741,warp / PA twist,"""NGC3741"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,11,minimum_25_pool
NGC5585,A/R mismatch,"""NGC5585"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,12,minimum_25_pool
NGC5585,H I asymmetry,"""NGC5585"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,12,minimum_25_pool
NGC5585,SFE/depletion,"""NGC5585"" ""star formation efficiency"" ""depletion time"" ""H I""",Acquire same-object Tier A map-level/dynamical label for SFE/depletion,same-object SFR plus H I/H2 gas mass/depletion measurements,12,minimum_25_pool
NGC5585,Vrot/sigma,"""NGC5585"" ""Vrot"" ""sigma"" ""velocity dispersion""",Acquire same-object Tier A map-level/dynamical label for Vrot/sigma,resolved kinematic survey or velocity-dispersion/rotation measurements,12,minimum_25_pool
NGC5585,burstiness,"""NGC5585"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",12,minimum_25_pool
NGC5585,centroid offset,"""NGC5585"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,12,minimum_25_pool
NGC5585,external morphology,"""NGC5585"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,12,minimum_25_pool
NGC5585,lopsidedness,"""NGC5585"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,12,minimum_25_pool
NGC5585,warp / PA twist,"""NGC5585"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,12,minimum_25_pool
UGC00128,A/R mismatch,"""UGC00128"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,13,minimum_25_pool
UGC00128,H I asymmetry,"""UGC00128"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,13,minimum_25_pool
UGC00128,SFE/depletion,"""UGC00128"" ""star formation efficiency"" ""depletion time"" ""H I""",Acquire same-object Tier A map-level/dynamical label for SFE/depletion,same-object SFR plus H I/H2 gas mass/depletion measurements,13,minimum_25_pool
UGC00128,Vrot/sigma,"""UGC00128"" ""Vrot"" ""sigma"" ""velocity dispersion""",Acquire same-object Tier A map-level/dynamical label for Vrot/sigma,resolved kinematic survey or velocity-dispersion/rotation measurements,13,minimum_25_pool
UGC00128,burstiness,"""UGC00128"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",13,minimum_25_pool
UGC00128,centroid offset,"""UGC00128"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,13,minimum_25_pool
UGC00128,external morphology,"""UGC00128"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,13,minimum_25_pool
UGC00128,lopsidedness,"""UGC00128"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,13,minimum_25_pool
UGC00128,warp / PA twist,"""UGC00128"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,13,minimum_25_pool
UGC00731,A/R mismatch,"""UGC00731"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,14,minimum_25_pool
UGC00731,H I asymmetry,"""UGC00731"" ""H I"" asymmetry lopsidedness",Acquire same-object Tier A map-level/dynamical label for H I asymmetry,resolved H I maps or map-level asymmetry literature,14,minimum_25_pool
UGC00731,SFE/depletion,"""UGC00731"" ""star formation efficiency"" ""depletion time"" ""H I""",Acquire same-object Tier A map-level/dynamical label for SFE/depletion,same-object SFR plus H I/H2 gas mass/depletion measurements,14,minimum_25_pool
UGC00731,Vrot/sigma,"""UGC00731"" ""Vrot"" ""sigma"" ""velocity dispersion""",Acquire same-object Tier A map-level/dynamical label for Vrot/sigma,resolved kinematic survey or velocity-dispersion/rotation measurements,14,minimum_25_pool
UGC00731,burstiness,"""UGC00731"" burstiness ""star formation history"" Halpha FUV",Acquire same-object Tier A map-level/dynamical label for burstiness,"resolved SFH, H-alpha/FUV time-scale comparison, or burstiness catalog",14,minimum_25_pool
UGC00731,centroid offset,"""UGC00731"" ""H I"" ""centroid offset"" stellar gas",Acquire same-object Tier A map-level/dynamical label for centroid offset,H I/stellar centroid comparison from resolved maps,14,minimum_25_pool
UGC00731,external morphology,"""UGC00731"" morphology RC3 HyperLEDA NED S4G",Acquire same-object Tier A map-level/dynamical label for external morphology,RC3/HyperLEDA/NED/S4G or visual morphology catalog,14,minimum_25_pool
UGC00731,lopsidedness,"""UGC00731"" ""H I"" lopsidedness Fourier asymmetry",Acquire same-object Tier A map-level/dynamical label for lopsidedness,H I surface-density maps or Fourier/lopsidedness literature,14,minimum_25_pool
UGC00731,warp / PA twist,"""UGC00731"" ""H I"" warp ""position angle"" ""tilted ring""",Acquire same-object Tier A map-level/dynamical label for warp / PA twist,tilted-ring H I velocity-field fits; PA twist literature,14,minimum_25_pool
UGC01230,A/R mismatch,"""UGC01230"" ""H I"" ""approaching"" ""receding"" ""rotation curve""",Acquire same-object Tier A map-level/dynamical label for A/R mismatch,resolved H I/H-alpha velocity-field maps; approaching/receding side rotation curves,15,minimum_25_pool
