object_name,taxonomy_stage,m51_pseudotime_score,m54_hi_sfr_score,m56_hi_structural_score,gas_fraction_only_score,stellar_fraction_only_score,rhi_over_rd_only_score,quality_only_score,RHI_over_Rdisk,f_star_structural,f_gas_structural,quality_quarantine_flag,branch_role,claim_boundary,m51_rank,m54_rank,m56_rank,m56_vs_m51_rank_shift,m56_vs_m54_rank_shift
NGC3972,mature_or_control,0.7257610080544021,0.6128805040272011,0.6812363750791722,0.8163351199847119,0.8163351199847119,0.8236791801080777,1.0,4.610091743119266,0.8163351199847119,0.18366488001528816,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,49.0,49.0,43.0,6.0,6.0
UGC08286,mature_or_control,0.8649381226476502,0.6824690613238251,0.6358217032844067,0.42359723497326773,0.4235972349732678,0.6691129546904915,1.0,7.685714285714286,0.4235972349732678,0.5764027650267323,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,42.0,42.0,44.0,-2.0,-2.0
UGC08490,juvenile_forming,0.9392507109710704,0.7196253554855352,0.6204856921523964,0.34683855125844076,0.34683855125844076,0.4702992694472755,1.0,11.641791044776118,0.34683855125844076,0.6531614487415592,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,34.0,34.0,45.0,-11.0,-11.0
NGC0100,failed_stalled,0.889973482387162,0.6949867411935811,0.6195316033117225,0.379102446806015,0.37910244680601496,0.5600737346322111,0.7,9.855421686746988,0.37910244680601496,0.620897553193985,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,41.0,41.0,46.0,-5.0,-5.0
UGC07603,juvenile_forming,0.855329369600873,0.6776646848004365,0.6126544233387073,0.3539556425801106,0.35395564258011075,0.6409916798112003,1.0,8.245283018867925,0.35395564258011075,0.6460443574198894,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,43.0,43.0,47.0,-4.0,-4.0
ESO116-G012,mature_or_control,0.6621790652921447,0.5810895326460723,0.5917494870147482,0.5983732945942856,0.5983732945942857,0.7365225237408978,1.0,6.344370860927152,0.5983732945942857,0.40162670540571443,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,52.0,52.0,48.0,4.0,4.0
F579-V1,mature_or_control,0.620649655144032,0.5603248275720161,0.5875390360554879,0.6648821248393633,0.6648821248393632,0.7427936918529235,0.7,6.2195845697329375,0.6648821248393632,0.3351178751606368,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,53.0,53.0,49.0,4.0,4.0
NGC0024,mature_or_control,0.5500511582606858,0.525025579130343,0.5671080094538752,0.6838210987557938,0.6838210987557937,0.7819569192963073,1.0,5.440298507462686,0.6838210987557937,0.3161789012442063,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,55.0,55.0,50.0,5.0,5.0
NGC5585,juvenile_forming,0.7089720417579096,0.6044860208789549,0.5651564619690329,0.39664248805220637,0.39664248805220637,0.6966759262735087,1.0,7.137254901960784,0.39664248805220637,0.6033575119477936,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,51.0,51.0,51.0,0.0,0.0
UGC05721,juvenile_forming,0.9095047610213016,0.7047523805106508,0.5416334793948062,0.2621031432633075,0.2621031432633075,0.1639908642058241,0.7,17.736842105263158,0.2621031432633075,0.7378968567366925,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,39.0,39.0,52.0,-13.0,-13.0
UGC08550,juvenile_forming,0.7975786782299702,0.6487893391149852,0.5358050861487882,0.2739128786442735,0.2739128786442734,0.4310784939374602,0.7,12.42222222222222,0.2739128786442734,0.7260871213557265,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,46.0,46.0,53.0,-7.0,-7.0
NGC1003,failed_stalled,0.9098233875851,0.70491169379255,0.5270038880192786,0.30364011967516735,0.3036401196751674,0.014982936100552235,1.0,20.701863354037265,0.3036401196751674,0.6963598803248326,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,38.0,38.0,54.0,-16.0,-16.0
UGC07151,mature_or_control,0.3346896757953144,0.4173448378976571,0.45319451809973216,0.582272801435797,0.582272801435797,0.7984556477345246,1.0,5.112,0.582272801435797,0.417727198564203,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,58.0,58.0,55.0,3.0,3.0
NGC4183,mature_or_control,0.351364552237024,0.425682276118512,0.44529060328133435,0.5374936272438549,0.5374936272438549,0.7658974411758652,1.0,5.759856630824372,0.5374936272438549,0.46250637275614515,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,57.0,57.0,56.0,1.0,1.0
UGC06917,mature_or_control,0.2211032226347184,0.3605516113173592,0.4029617810769277,0.5593956692687736,0.5593956692687735,0.8246597624927167,1.0,4.590579710144928,0.5593956692687735,0.4406043307312264,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,61.0,61.0,57.0,4.0,4.0
DDO161,failed_stalled,0.4893492655250718,0.4946746327625359,0.398713780353277,0.13005876377721037,0.1300587637772103,0.6150091016560829,1.0,8.762295081967213,0.1300587637772103,0.8699412362227896,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,56.0,56.0,58.0,-2.0,-2.0
UGC05005,juvenile_forming,0.3207340607600083,0.4103670303800041,0.3811440189583622,0.3325929759608286,0.33259297596082865,0.7159804762284621,1.0,6.753125,0.33259297596082865,0.6674070240391714,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,59.0,59.0,59.0,0.0,0.0
UGC06399,mature_or_control,0.1543166850647691,0.3271583425323845,0.3765868047421164,0.5615284530575908,0.5615284530575908,0.8396306442324155,1.0,4.292682926829269,0.5615284530575908,0.43847154694240914,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,62.0,62.0,60.0,2.0,2.0
UGC04325,mature_or_control,0.1178330606459654,0.3089165303229826,0.36231023201072127,0.5290535529628043,0.5290535529628043,0.8767652386932088,1.0,3.553763440860215,0.5290535529628043,0.4709464470371957,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,64.0,64.0,61.0,3.0,3.0
UGC06446,juvenile_forming,0.2907845859520869,0.3953922929760434,0.34193938475134505,0.21219293234309966,0.2121929323430996,0.706946544288021,1.0,6.932885906040268,0.2121929323430996,0.7878070676569003,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,60.0,60.0,62.0,-2.0,-2.0
UGC06930,mature_or_control,0.0932537587438715,0.2966268793719357,0.3390688181197577,0.5091657821440827,0.5091657821440828,0.8415843588738545,1.0,4.253807106598985,0.5091657821440828,0.49083421785591735,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,65.0,65.0,63.0,2.0,2.0
NGC3741,juvenile_forming,0.5790697928386082,0.5395348964193041,0.3260617984469397,0.05467468562055777,0.05467468562055768,0.0,1.0,21.0,0.05467468562055768,0.9453253143794422,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,54.0,54.0,64.0,-10.0,-10.0
UGC06667,juvenile_forming,0.0,0.25,0.3119400474610994,0.39363866393909164,0.3936386639390917,0.9715367314948482,0.7,1.6679611650485435,0.3936386639390917,0.6063613360609084,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,76.0,76.0,65.0,11.0,11.0
F574-1,mature_or_control,0.0,0.25,0.28470821197108276,0.41085197261741047,0.4108519726174105,0.8729316966240367,1.0,3.630044843049328,0.4108519726174105,0.5891480273825895,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,76.0,76.0,66.0,10.0,10.0
UGC07524,juvenile_forming,0.0,0.25,0.2721097149313315,0.33983711255639537,0.33983711255639537,0.8794671346522016,1.0,3.5,0.33983711255639537,0.6601628874436046,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,76.0,76.0,67.0,9.0,9.0
UGC01281,juvenile_forming,0.0,0.25,0.26983599522638774,0.31100225542712157,0.31100225542712145,0.8931871302672842,0.7,3.226993865030675,0.31100225542712145,0.6889977445728784,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,76.0,76.0,68.0,8.0,8.0
UGC06983,mature_or_control,0.0,0.25,0.26754729182977816,0.40166123082101735,0.4016612308210174,0.8037711204814247,1.0,5.006230529595015,0.4016612308210174,0.5983387691789827,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,76.0,76.0,69.0,7.0,7.0
UGC07125,failed_stalled,0.1286747142184619,0.314337357109231,0.2637152763833109,0.1804974862131068,0.18049748621310685,0.7127921290824437,0.0,6.816568047337278,0.18049748621310685,0.8195025137868932,True,quarantined_failed_stalled_measurement_limited_context,UGC07125_quarantined_not_clean_scalar_not_prototype,63.0,63.0,70.0,-7.0,-7.0
UGC07399,juvenile_forming,0.0,0.25,0.2631873117465544,0.36842273002517767,0.36842273002517767,0.8148094463554718,1.0,4.786585365853659,0.36842273002517767,0.6315772699748223,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,76.0,76.0,71.0,5.0,5.0
UGC00128,juvenile_forming,0.0,0.25,0.2603026030133196,0.378148431753646,0.37814843175364604,0.7912459176395511,1.0,5.25546218487395,0.37814843175364604,0.621851568246354,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,76.0,76.0,72.0,4.0,4.0
F568-V1,juvenile_forming,0.0,0.25,0.2600080175283913,0.36599158362883766,0.3659915836288376,0.8017918919826689,0.7,5.045614035087719,0.3659915836288376,0.6340084163711623,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,76.0,76.0,73.0,3.0,3.0
UGC04278,juvenile_forming,0.0,0.25,0.2589764451694329,0.30569095042520744,0.3056909504252074,0.8529751059031437,0.7,4.027149321266968,0.3056909504252074,0.6943090495747926,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,76.0,76.0,74.0,2.0,2.0
F563-V2,juvenile_forming,0.0,0.25,0.25884927220779674,0.341041215047844,0.341041215047844,0.8202155569736935,0.7,4.679012345679012,0.341041215047844,0.658958784952156,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,76.0,76.0,75.0,1.0,1.0
UGC04499,juvenile_forming,0.0,0.25,0.2564767623588282,0.3465832961143367,0.3465832961143367,0.8035032516756366,1.0,5.011560693641618,0.3465832961143367,0.6534167038856633,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,76.0,76.0,76.0,0.0,0.0
UGC10310,disturbed_or_measurement_contaminated,0.0,0.25,0.2547392806242317,0.3536921314166376,0.3536921314166375,0.7878908742820677,0.7,5.322222222222222,0.3536921314166375,0.6463078685833624,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,76.0,76.0,77.0,-1.0,-1.0
UGC01230,disturbed_or_measurement_contaminated,0.0,0.25,0.23845023772834342,0.30820504938561233,0.3082050493856122,0.7509340840315375,0.7,6.057603686635945,0.3082050493856122,0.6917949506143877,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,76.0,76.0,78.0,-2.0,-2.0
UGCA442,juvenile_forming,0.0,0.25,0.23499812832698203,0.1667500416875104,0.16675004168751043,0.8692457248547911,1.0,3.703389830508475,0.16675004168751043,0.8332499583124896,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,76.0,76.0,79.0,-3.0,-3.0
DDO064,juvenile_forming,0.0,0.25,0.23039957028765612,0.21858379973825637,0.21858379973825634,0.8011708887100801,0.7,5.057971014492754,0.21858379973825634,0.7814162002617436,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,76.0,76.0,80.0,-4.0,-4.0
UGC12632,failed_stalled,0.0,0.25,0.2289714074232318,0.21902209412731233,0.21902209412731224,0.7937009182150448,1.0,5.206611570247934,0.21902209412731224,0.7809779058726877,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,76.0,76.0,81.0,-5.0,-5.0
NGC3109,juvenile_forming,0.0,0.25,0.22646969381457072,0.13262055481877466,0.1326205548187747,0.862071081439301,1.0,3.846153846153846,0.1326205548187747,0.8673794451812253,False,physical_ordering_candidate_or_control,H_I_extent_structural_endpoint_diagnostic_not_map_level_dynamical_maturity,76.0,76.0,82.0,-6.0,-6.0
