object_name,label_family,readiness_status,same_object_source_lead_count,measurement_table_hit_count,best_source_lead,promotion_blocker
F563-1,A/R mismatch,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F563-1,H I asymmetry,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F563-1,SFE/depletion,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F563-1,Vrot/sigma,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F563-1,burstiness,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F563-1,centroid offset,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F563-1,external morphology,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F563-1,lopsidedness,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F563-1,warp / PA twist,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F563-V2,A/R mismatch,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F563-V2,H I asymmetry,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F563-V2,SFE/depletion,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F563-V2,Vrot/sigma,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F563-V2,burstiness,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F563-V2,centroid offset,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F563-V2,external morphology,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F563-V2,lopsidedness,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F563-V2,warp / PA twist,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F568-V1,A/R mismatch,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F568-V1,H I asymmetry,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F568-V1,SFE/depletion,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F568-V1,Vrot/sigma,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F568-V1,burstiness,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F568-V1,centroid offset,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F568-V1,external morphology,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F568-V1,lopsidedness,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F568-V1,warp / PA twist,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F583-1,A/R mismatch,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F583-1,H I asymmetry,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F583-1,SFE/depletion,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F583-1,Vrot/sigma,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F583-1,burstiness,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F583-1,centroid offset,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F583-1,external morphology,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F583-1,lopsidedness,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
F583-1,warp / PA twist,object_unresolved_no_source_table_route,0,0,,no extracted same-object target-label measurement with audited source provenance
NGC0100,A/R mismatch,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC0100 / NGC   100,no extracted same-object target-label measurement with audited source provenance
NGC0100,H I asymmetry,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC0100 / NGC   100,no extracted same-object target-label measurement with audited source provenance
NGC0100,SFE/depletion,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC0100 / NGC   100,no extracted same-object target-label measurement with audited source provenance
NGC0100,Vrot/sigma,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC0100 / NGC   100,no extracted same-object target-label measurement with audited source provenance
NGC0100,burstiness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC0100 / NGC   100,no extracted same-object target-label measurement with audited source provenance
NGC0100,centroid offset,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC0100 / NGC   100,no extracted same-object target-label measurement with audited source provenance
NGC0100,external morphology,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC0100 / NGC   100,no extracted same-object target-label measurement with audited source provenance
NGC0100,lopsidedness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC0100 / NGC   100,no extracted same-object target-label measurement with audited source provenance
NGC0100,warp / PA twist,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC0100 / NGC   100,no extracted same-object target-label measurement with audited source provenance
NGC1003,A/R mismatch,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC1003 / NGC  1003,no extracted same-object target-label measurement with audited source provenance
NGC1003,H I asymmetry,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC1003 / NGC  1003,no extracted same-object target-label measurement with audited source provenance
NGC1003,SFE/depletion,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC1003 / NGC  1003,no extracted same-object target-label measurement with audited source provenance
NGC1003,Vrot/sigma,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC1003 / NGC  1003,no extracted same-object target-label measurement with audited source provenance
NGC1003,burstiness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC1003 / NGC  1003,no extracted same-object target-label measurement with audited source provenance
NGC1003,centroid offset,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC1003 / NGC  1003,no extracted same-object target-label measurement with audited source provenance
NGC1003,external morphology,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC1003 / NGC  1003,no extracted same-object target-label measurement with audited source provenance
NGC1003,lopsidedness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC1003 / NGC  1003,no extracted same-object target-label measurement with audited source provenance
NGC1003,warp / PA twist,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC1003 / NGC  1003,no extracted same-object target-label measurement with audited source provenance
NGC3109,A/R mismatch,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC3109 / NGC  3109,no extracted same-object target-label measurement with audited source provenance
NGC3109,H I asymmetry,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC3109 / NGC  3109,no extracted same-object target-label measurement with audited source provenance
NGC3109,SFE/depletion,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC3109 / NGC  3109,no extracted same-object target-label measurement with audited source provenance
NGC3109,Vrot/sigma,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC3109 / NGC  3109,no extracted same-object target-label measurement with audited source provenance
NGC3109,burstiness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC3109 / NGC  3109,no extracted same-object target-label measurement with audited source provenance
NGC3109,centroid offset,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC3109 / NGC  3109,no extracted same-object target-label measurement with audited source provenance
NGC3109,external morphology,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC3109 / NGC  3109,no extracted same-object target-label measurement with audited source provenance
NGC3109,lopsidedness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC3109 / NGC  3109,no extracted same-object target-label measurement with audited source provenance
NGC3109,warp / PA twist,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC3109 / NGC  3109,no extracted same-object target-label measurement with audited source provenance
NGC3741,A/R mismatch,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC3741 / NGC  3741,no extracted same-object target-label measurement with audited source provenance
NGC3741,H I asymmetry,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC3741 / NGC  3741,no extracted same-object target-label measurement with audited source provenance
NGC3741,SFE/depletion,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC3741 / NGC  3741,no extracted same-object target-label measurement with audited source provenance
NGC3741,Vrot/sigma,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC3741 / NGC  3741,no extracted same-object target-label measurement with audited source provenance
NGC3741,burstiness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC3741 / NGC  3741,no extracted same-object target-label measurement with audited source provenance
NGC3741,centroid offset,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC3741 / NGC  3741,no extracted same-object target-label measurement with audited source provenance
NGC3741,external morphology,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC3741 / NGC  3741,no extracted same-object target-label measurement with audited source provenance
NGC3741,lopsidedness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC3741 / NGC  3741,no extracted same-object target-label measurement with audited source provenance
NGC3741,warp / PA twist,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC3741 / NGC  3741,no extracted same-object target-label measurement with audited source provenance
NGC5585,A/R mismatch,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC5585 / NGC  5585,no extracted same-object target-label measurement with audited source provenance
NGC5585,H I asymmetry,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC5585 / NGC  5585,no extracted same-object target-label measurement with audited source provenance
NGC5585,SFE/depletion,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC5585 / NGC  5585,no extracted same-object target-label measurement with audited source provenance
NGC5585,Vrot/sigma,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC5585 / NGC  5585,no extracted same-object target-label measurement with audited source provenance
NGC5585,burstiness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC5585 / NGC  5585,no extracted same-object target-label measurement with audited source provenance
NGC5585,centroid offset,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC5585 / NGC  5585,no extracted same-object target-label measurement with audited source provenance
NGC5585,external morphology,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC5585 / NGC  5585,no extracted same-object target-label measurement with audited source provenance
NGC5585,lopsidedness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC5585 / NGC  5585,no extracted same-object target-label measurement with audited source provenance
NGC5585,warp / PA twist,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for NGC5585 / NGC  5585,no extracted same-object target-label measurement with audited source provenance
UGC00128,A/R mismatch,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC00128 / MCG+06-01-019,no extracted same-object target-label measurement with audited source provenance
UGC00128,H I asymmetry,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC00128 / MCG+06-01-019,no extracted same-object target-label measurement with audited source provenance
UGC00128,SFE/depletion,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC00128 / MCG+06-01-019,no extracted same-object target-label measurement with audited source provenance
UGC00128,Vrot/sigma,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC00128 / MCG+06-01-019,no extracted same-object target-label measurement with audited source provenance
UGC00128,burstiness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC00128 / MCG+06-01-019,no extracted same-object target-label measurement with audited source provenance
UGC00128,centroid offset,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC00128 / MCG+06-01-019,no extracted same-object target-label measurement with audited source provenance
UGC00128,external morphology,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC00128 / MCG+06-01-019,no extracted same-object target-label measurement with audited source provenance
UGC00128,lopsidedness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC00128 / MCG+06-01-019,no extracted same-object target-label measurement with audited source provenance
UGC00128,warp / PA twist,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC00128 / MCG+06-01-019,no extracted same-object target-label measurement with audited source provenance
UGC00731,A/R mismatch,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC00731 / UGC   731,no extracted same-object target-label measurement with audited source provenance
UGC00731,H I asymmetry,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC00731 / UGC   731,no extracted same-object target-label measurement with audited source provenance
UGC00731,SFE/depletion,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC00731 / UGC   731,no extracted same-object target-label measurement with audited source provenance
UGC00731,Vrot/sigma,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC00731 / UGC   731,no extracted same-object target-label measurement with audited source provenance
UGC00731,burstiness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC00731 / UGC   731,no extracted same-object target-label measurement with audited source provenance
UGC00731,centroid offset,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC00731 / UGC   731,no extracted same-object target-label measurement with audited source provenance
UGC00731,external morphology,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC00731 / UGC   731,no extracted same-object target-label measurement with audited source provenance
UGC00731,lopsidedness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC00731 / UGC   731,no extracted same-object target-label measurement with audited source provenance
UGC00731,warp / PA twist,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC00731 / UGC   731,no extracted same-object target-label measurement with audited source provenance
UGC01230,A/R mismatch,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC01230 / MCG+04-05-005,no extracted same-object target-label measurement with audited source provenance
UGC01230,H I asymmetry,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC01230 / MCG+04-05-005,no extracted same-object target-label measurement with audited source provenance
UGC01230,SFE/depletion,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC01230 / MCG+04-05-005,no extracted same-object target-label measurement with audited source provenance
UGC01230,Vrot/sigma,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC01230 / MCG+04-05-005,no extracted same-object target-label measurement with audited source provenance
UGC01230,burstiness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC01230 / MCG+04-05-005,no extracted same-object target-label measurement with audited source provenance
UGC01230,centroid offset,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC01230 / MCG+04-05-005,no extracted same-object target-label measurement with audited source provenance
UGC01230,external morphology,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC01230 / MCG+04-05-005,no extracted same-object target-label measurement with audited source provenance
UGC01230,lopsidedness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC01230 / MCG+04-05-005,no extracted same-object target-label measurement with audited source provenance
UGC01230,warp / PA twist,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC01230 / MCG+04-05-005,no extracted same-object target-label measurement with audited source provenance
UGC01281,A/R mismatch,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC01281 / Z 503-26,no extracted same-object target-label measurement with audited source provenance
UGC01281,H I asymmetry,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC01281 / Z 503-26,no extracted same-object target-label measurement with audited source provenance
UGC01281,SFE/depletion,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC01281 / Z 503-26,no extracted same-object target-label measurement with audited source provenance
UGC01281,Vrot/sigma,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC01281 / Z 503-26,no extracted same-object target-label measurement with audited source provenance
UGC01281,burstiness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC01281 / Z 503-26,no extracted same-object target-label measurement with audited source provenance
UGC01281,centroid offset,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC01281 / Z 503-26,no extracted same-object target-label measurement with audited source provenance
UGC01281,external morphology,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC01281 / Z 503-26,no extracted same-object target-label measurement with audited source provenance
UGC01281,lopsidedness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC01281 / Z 503-26,no extracted same-object target-label measurement with audited source provenance
UGC01281,warp / PA twist,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC01281 / Z 503-26,no extracted same-object target-label measurement with audited source provenance
UGC04278,A/R mismatch,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC04278 / IC 2233,no extracted same-object target-label measurement with audited source provenance
UGC04278,H I asymmetry,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC04278 / IC 2233,no extracted same-object target-label measurement with audited source provenance
UGC04278,SFE/depletion,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC04278 / IC 2233,no extracted same-object target-label measurement with audited source provenance
UGC04278,Vrot/sigma,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC04278 / IC 2233,no extracted same-object target-label measurement with audited source provenance
UGC04278,burstiness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC04278 / IC 2233,no extracted same-object target-label measurement with audited source provenance
UGC04278,centroid offset,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC04278 / IC 2233,no extracted same-object target-label measurement with audited source provenance
UGC04278,external morphology,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC04278 / IC 2233,no extracted same-object target-label measurement with audited source provenance
UGC04278,lopsidedness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC04278 / IC 2233,no extracted same-object target-label measurement with audited source provenance
UGC04278,warp / PA twist,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC04278 / IC 2233,no extracted same-object target-label measurement with audited source provenance
UGC04499,A/R mismatch,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC04499 / Z 263-63,no extracted same-object target-label measurement with audited source provenance
UGC04499,H I asymmetry,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC04499 / Z 263-63,no extracted same-object target-label measurement with audited source provenance
UGC04499,SFE/depletion,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC04499 / Z 263-63,no extracted same-object target-label measurement with audited source provenance
UGC04499,Vrot/sigma,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC04499 / Z 263-63,no extracted same-object target-label measurement with audited source provenance
UGC04499,burstiness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC04499 / Z 263-63,no extracted same-object target-label measurement with audited source provenance
UGC04499,centroid offset,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC04499 / Z 263-63,no extracted same-object target-label measurement with audited source provenance
UGC04499,external morphology,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC04499 / Z 263-63,no extracted same-object target-label measurement with audited source provenance
UGC04499,lopsidedness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC04499 / Z 263-63,no extracted same-object target-label measurement with audited source provenance
UGC04499,warp / PA twist,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC04499 / Z 263-63,no extracted same-object target-label measurement with audited source provenance
UGC05005,A/R mismatch,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC05005 / UGC  5005,no extracted same-object target-label measurement with audited source provenance
UGC05005,H I asymmetry,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC05005 / UGC  5005,no extracted same-object target-label measurement with audited source provenance
UGC05005,SFE/depletion,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC05005 / UGC  5005,no extracted same-object target-label measurement with audited source provenance
UGC05005,Vrot/sigma,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC05005 / UGC  5005,no extracted same-object target-label measurement with audited source provenance
UGC05005,burstiness,source_lead_ready_for_manual_extraction,1,0,Object-resolved ADS/SIMBAD bibliography route for UGC05005 / UGC  5005,no extracted same-object target-label measurement with audited source provenance
