rank,object_name,phase_region_m42,baryonic_maturity_score,total_maturity_gap,dominant_gap_family,followup_priority,boundary_test
18,UGC01230,measurement_limited,0.43488411707999786,0.31784842911945915,composition,measurement-limited/quarantine; increase stellar fraction by converting/retaining organized gas into a stellar disk,baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
19,NGC1090,activated_mature,0.5602122101991078,0.2882973729341393,shape_symmetry,"measure and decrease H I/stellar lopsidedness, centroid offsets, PA twists, and warps",baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
20,UGC09133,activated_mature,0.5613811890823067,0.2879369811375961,shape_symmetry,"measure and decrease H I/stellar lopsidedness, centroid offsets, PA twists, and warps",baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
21,NGC5585,transition,0.5131112427203216,0.28400047640373993,shape_symmetry,"measure and decrease H I/stellar lopsidedness, centroid offsets, PA twists, and warps",baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
22,NGC4088,activated_mature,0.5795413467526942,0.2718027731845489,shape_symmetry,"measure and decrease H I/stellar lopsidedness, centroid offsets, PA twists, and warps",baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
23,DDO064,measurement_limited,0.5059280154989654,0.26493717844439607,composition,measurement-limited/quarantine; increase stellar fraction by converting/retaining organized gas into a stellar disk,baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
24,F563-V2,measurement_limited,0.5167999386600185,0.2586527631385558,composition,measurement-limited/quarantine; increase stellar fraction by converting/retaining organized gas into a stellar disk,baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
25,UGC10310,measurement_limited,0.5131934801572006,0.2551410148597693,composition,measurement-limited/quarantine; increase stellar fraction by converting/retaining organized gas into a stellar disk,baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
26,xGASS_xCOLD:GASS101001,failed_stalled,0.5192568496301381,0.254411339588935,composition,increase stellar fraction by converting/retaining organized gas into a stellar disk,baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
27,xGASS_xCOLD:GASS101026,transition,0.5192568496301381,0.254411339588935,composition,increase stellar fraction by converting/retaining organized gas into a stellar disk,baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
28,xGASS_xCOLD:GASS101033,failed_stalled,0.5192568496301381,0.254411339588935,composition,increase stellar fraction by converting/retaining organized gas into a stellar disk,baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
29,xGASS_xCOLD:GASS102001,transition,0.5192568496301381,0.254411339588935,composition,increase stellar fraction by converting/retaining organized gas into a stellar disk,baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
30,xGASS_xCOLD:GASS107026,pre_activation,0.5192568496301381,0.254411339588935,composition,increase stellar fraction by converting/retaining organized gas into a stellar disk,baryonic mature-structure/organization boundary test: does added visible-matter organization move this row toward the mature endpoint?
