dataset,feature,available_count,total_rows,availability_fraction,tier_implication,feature_role
WHISP,AR_mismatch,0,0,0.0,missing; cannot use for this evidence channel,approaching/receding mismatch
WHISP,HI_asymmetry,0,0,0.0,missing; cannot use for this evidence channel,H I morphology/asymmetry
WHISP,SFE,0,0,0.0,missing; cannot use for this evidence channel,star-formation efficiency
WHISP,depletion_time,0,0,0.0,missing; cannot use for this evidence channel,gas consumption timescale
WHISP,molecular_gas,0,0,0.0,missing; cannot use for this evidence channel,H2 content
WHISP,morphology,0,0,0.0,missing; cannot use for this evidence channel,morphological channel/context
WHISP,quality_flags,0,0,0.0,missing; cannot use for this evidence channel,measurement reliability separation
WALLABY_ALFALFA_HI_CATALOGS,Vflat,0,0,0.0,missing; cannot use for this evidence channel,direct endpoint/rotation evidence
WALLABY_ALFALFA_HI_CATALOGS,baryonic_mass_model,0,0,0.0,missing; cannot use for this evidence channel,direct baryonic endpoint modeling
WALLABY_ALFALFA_HI_CATALOGS,M_star,0,0,0.0,missing; cannot use for this evidence channel,stellar mass / maturity composition
WALLABY_ALFALFA_HI_CATALOGS,M_HI,0,0,0.0,missing; cannot use for this evidence channel,atomic gas content
WALLABY_ALFALFA_HI_CATALOGS,R_d,0,0,0.0,missing; cannot use for this evidence channel,stellar disk scale
WALLABY_ALFALFA_HI_CATALOGS,R_HI,0,0,0.0,missing; cannot use for this evidence channel,H I extent
WALLABY_ALFALFA_HI_CATALOGS,HI_velocity_field,0,0,0.0,missing; cannot use for this evidence channel,resolved dynamical organization
WALLABY_ALFALFA_HI_CATALOGS,V_rot_over_sigma,0,0,0.0,missing; cannot use for this evidence channel,dynamical settling
WALLABY_ALFALFA_HI_CATALOGS,AR_mismatch,0,0,0.0,missing; cannot use for this evidence channel,approaching/receding mismatch
WALLABY_ALFALFA_HI_CATALOGS,HI_asymmetry,0,0,0.0,missing; cannot use for this evidence channel,H I morphology/asymmetry
WALLABY_ALFALFA_HI_CATALOGS,SFE,0,0,0.0,missing; cannot use for this evidence channel,star-formation efficiency
WALLABY_ALFALFA_HI_CATALOGS,depletion_time,0,0,0.0,missing; cannot use for this evidence channel,gas consumption timescale
WALLABY_ALFALFA_HI_CATALOGS,molecular_gas,0,0,0.0,missing; cannot use for this evidence channel,H2 content
WALLABY_ALFALFA_HI_CATALOGS,morphology,0,0,0.0,missing; cannot use for this evidence channel,morphological channel/context
WALLABY_ALFALFA_HI_CATALOGS,quality_flags,0,0,0.0,missing; cannot use for this evidence channel,measurement reliability separation
XGASS_XCOLDGASS,Vflat,0,562,0.0,missing; cannot use for this evidence channel,direct endpoint/rotation evidence
XGASS_XCOLDGASS,baryonic_mass_model,0,562,0.0,missing; cannot use for this evidence channel,direct baryonic endpoint modeling
XGASS_XCOLDGASS,M_star,562,562,1.0,supports Tier 3 proxy/follow-up selection,stellar mass / maturity composition
XGASS_XCOLDGASS,M_HI,562,562,1.0,supports Tier 3 proxy/follow-up selection,atomic gas content
XGASS_XCOLDGASS,R_d,562,562,1.0,supports Tier 3 proxy/follow-up selection,stellar disk scale
XGASS_XCOLDGASS,R_HI,0,562,0.0,missing; cannot use for this evidence channel,H I extent
XGASS_XCOLDGASS,HI_velocity_field,0,562,0.0,missing; cannot use for this evidence channel,resolved dynamical organization
XGASS_XCOLDGASS,V_rot_over_sigma,0,562,0.0,missing; cannot use for this evidence channel,dynamical settling
XGASS_XCOLDGASS,AR_mismatch,0,562,0.0,missing; cannot use for this evidence channel,approaching/receding mismatch
XGASS_XCOLDGASS,HI_asymmetry,0,562,0.0,missing; cannot use for this evidence channel,H I morphology/asymmetry
XGASS_XCOLDGASS,SFE,562,562,1.0,supports Tier 3 proxy/follow-up selection,star-formation efficiency
XGASS_XCOLDGASS,depletion_time,562,562,1.0,supports Tier 3 proxy/follow-up selection,gas consumption timescale
XGASS_XCOLDGASS,molecular_gas,562,562,1.0,supports Tier 3 proxy/follow-up selection,H2 content
XGASS_XCOLDGASS,morphology,0,562,0.0,missing; cannot use for this evidence channel,morphological channel/context
XGASS_XCOLDGASS,quality_flags,562,562,1.0,supports Tier 3 proxy/follow-up selection,measurement reliability separation
MANGA,Vflat,0,10185,0.0,missing; cannot use for this evidence channel,direct endpoint/rotation evidence
MANGA,baryonic_mass_model,0,10185,0.0,missing; cannot use for this evidence channel,direct baryonic endpoint modeling
MANGA,M_star,10185,10185,1.0,supports Tier 3 proxy/follow-up selection,stellar mass / maturity composition
MANGA,M_HI,0,10185,0.0,missing; cannot use for this evidence channel,atomic gas content
MANGA,R_d,10185,10185,1.0,supports Tier 3 proxy/follow-up selection,stellar disk scale
MANGA,R_HI,0,10185,0.0,missing; cannot use for this evidence channel,H I extent
MANGA,HI_velocity_field,0,10185,0.0,missing; cannot use for this evidence channel,resolved dynamical organization
MANGA,V_rot_over_sigma,10185,10185,1.0,supports Tier 2 dynamical-organization tests,dynamical settling
MANGA,AR_mismatch,0,10185,0.0,missing; cannot use for this evidence channel,approaching/receding mismatch
MANGA,HI_asymmetry,0,10185,0.0,missing; cannot use for this evidence channel,H I morphology/asymmetry
MANGA,SFE,0,10185,0.0,missing; cannot use for this evidence channel,star-formation efficiency
MANGA,depletion_time,0,10185,0.0,missing; cannot use for this evidence channel,gas consumption timescale
MANGA,molecular_gas,0,10185,0.0,missing; cannot use for this evidence channel,H2 content
MANGA,morphology,10185,10185,1.0,supports Tier 3 proxy/follow-up selection,morphological channel/context
MANGA,quality_flags,10185,10185,1.0,supports Tier 3 proxy/follow-up selection,measurement reliability separation
ATLAS3D,Vflat,0,260,0.0,missing; cannot use for this evidence channel,direct endpoint/rotation evidence
ATLAS3D,baryonic_mass_model,0,260,0.0,missing; cannot use for this evidence channel,direct baryonic endpoint modeling
ATLAS3D,M_star,260,260,1.0,supports Tier 3 proxy/follow-up selection,stellar mass / maturity composition
ATLAS3D,M_HI,0,260,0.0,missing; cannot use for this evidence channel,atomic gas content
ATLAS3D,R_d,0,260,0.0,missing; cannot use for this evidence channel,stellar disk scale
ATLAS3D,R_HI,0,260,0.0,missing; cannot use for this evidence channel,H I extent
ATLAS3D,HI_velocity_field,0,260,0.0,missing; cannot use for this evidence channel,resolved dynamical organization
ATLAS3D,V_rot_over_sigma,260,260,1.0,supports Tier 2 dynamical-organization tests,dynamical settling
ATLAS3D,AR_mismatch,0,260,0.0,missing; cannot use for this evidence channel,approaching/receding mismatch
ATLAS3D,HI_asymmetry,0,260,0.0,missing; cannot use for this evidence channel,H I morphology/asymmetry
ATLAS3D,SFE,0,260,0.0,missing; cannot use for this evidence channel,star-formation efficiency
ATLAS3D,depletion_time,0,260,0.0,missing; cannot use for this evidence channel,gas consumption timescale
ATLAS3D,molecular_gas,0,260,0.0,missing; cannot use for this evidence channel,H2 content
ATLAS3D,morphology,260,260,1.0,supports Tier 3 proxy/follow-up selection,morphological channel/context
ATLAS3D,quality_flags,260,260,1.0,supports Tier 3 proxy/follow-up selection,measurement reliability separation
GALEX_WISE_SINGS_HERACLES,Vflat,0,0,0.0,missing; cannot use for this evidence channel,direct endpoint/rotation evidence
GALEX_WISE_SINGS_HERACLES,baryonic_mass_model,0,0,0.0,missing; cannot use for this evidence channel,direct baryonic endpoint modeling
GALEX_WISE_SINGS_HERACLES,M_star,0,0,0.0,missing; cannot use for this evidence channel,stellar mass / maturity composition
GALEX_WISE_SINGS_HERACLES,M_HI,0,0,0.0,missing; cannot use for this evidence channel,atomic gas content
GALEX_WISE_SINGS_HERACLES,R_d,0,0,0.0,missing; cannot use for this evidence channel,stellar disk scale
GALEX_WISE_SINGS_HERACLES,R_HI,0,0,0.0,missing; cannot use for this evidence channel,H I extent
GALEX_WISE_SINGS_HERACLES,HI_velocity_field,0,0,0.0,missing; cannot use for this evidence channel,resolved dynamical organization
GALEX_WISE_SINGS_HERACLES,V_rot_over_sigma,0,0,0.0,missing; cannot use for this evidence channel,dynamical settling
GALEX_WISE_SINGS_HERACLES,AR_mismatch,0,0,0.0,missing; cannot use for this evidence channel,approaching/receding mismatch
GALEX_WISE_SINGS_HERACLES,HI_asymmetry,0,0,0.0,missing; cannot use for this evidence channel,H I morphology/asymmetry
GALEX_WISE_SINGS_HERACLES,SFE,0,0,0.0,missing; cannot use for this evidence channel,star-formation efficiency
GALEX_WISE_SINGS_HERACLES,depletion_time,0,0,0.0,missing; cannot use for this evidence channel,gas consumption timescale
GALEX_WISE_SINGS_HERACLES,molecular_gas,0,0,0.0,missing; cannot use for this evidence channel,H2 content
GALEX_WISE_SINGS_HERACLES,morphology,0,0,0.0,missing; cannot use for this evidence channel,morphological channel/context
GALEX_WISE_SINGS_HERACLES,quality_flags,0,0,0.0,missing; cannot use for this evidence channel,measurement reliability separation
