dataset,missing_feature,impact_on_onset_testing,recommended_action,fabricated
ATLAS3D,HI_asymmetry,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
ATLAS3D,SFE,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
ATLAS3D,depletion_time,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
ATLAS3D,molecular_gas,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
GALEX_WISE_SINGS_HERACLES,Vflat,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
GALEX_WISE_SINGS_HERACLES,baryonic_mass_model,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
GALEX_WISE_SINGS_HERACLES,M_star,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
GALEX_WISE_SINGS_HERACLES,M_HI,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
GALEX_WISE_SINGS_HERACLES,R_d,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
GALEX_WISE_SINGS_HERACLES,R_HI,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
GALEX_WISE_SINGS_HERACLES,HI_velocity_field,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
GALEX_WISE_SINGS_HERACLES,V_rot_over_sigma,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
GALEX_WISE_SINGS_HERACLES,AR_mismatch,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
GALEX_WISE_SINGS_HERACLES,HI_asymmetry,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
GALEX_WISE_SINGS_HERACLES,SFE,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
GALEX_WISE_SINGS_HERACLES,depletion_time,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
GALEX_WISE_SINGS_HERACLES,molecular_gas,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
GALEX_WISE_SINGS_HERACLES,morphology,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
GALEX_WISE_SINGS_HERACLES,quality_flags,missing; cannot use for this evidence channel,acquire or normalize authoritative source before using this channel; not fabricated,False
WHISP,approaching/receding mismatch and H I asymmetry,blocks intended cross-dataset evidence channel until ingested,ingest normalized catalog; not fabricated,False
WALLABY_ALFALFA_HI_CATALOGS,broad H I candidate catalog crossmatch,blocks intended cross-dataset evidence channel until ingested,ingest normalized catalog; not fabricated,False
GALEX_WISE_SINGS_HERACLES,separate SFR/stellar/molecular crossmatch,blocks intended cross-dataset evidence channel until ingested,ingest normalized catalog; not fabricated,False
