candidate_name,dataset,analog_tier,analog_score,data_completeness,missing_required_fields,followup_priority,predicted_followup_signature,recommended_next_action,galaxy_id,mangaid,stellar_mass_msun,stellar_surface_density_msun_kpc2,specific_sfr_yr,sersic_n,axis_ratio,kinematic_asymmetry_proxy,A_proxy,A_proxy_class,low_surface_density_score,high_sSFR_score,late_type_disk_score,disturbed_or_low_settling_score,low_compactness_score
8133-3704,MaNGA,medium scalar/IFU proxy analog,0.7389265426445426,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8133-3704,1-377702,337118000.0,5131556.588162404,3.3602496857980017e-10,2.17541,0.314211,0.55110866,0.2095074455899198,low-proxy,1.0,0.7631857745781705,0.44153000000000003,0.55110866,0.7715779999999999
8552-12702,MaNGA,medium scalar/IFU proxy analog,0.736849093602479,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8552-12702,1-322045,1104670000.0,22932370.42848492,2.798951661612553e-10,0.956253,0.282915,0.24904302,0.3971854033709703,transition-proxy,0.8853936083184661,0.7234976990944233,0.8479156666666666,0.24904302,0.8341699999999999
9884-12704,MaNGA,medium scalar/IFU proxy analog,0.7354998230715285,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",9884-12704,1-196274,679005000.0,26096124.70163981,1.1005959406623145e-10,0.981346,0.231822,0.6010641,0.3045000818196694,low-proxy,0.8453028435720661,0.5208139533329676,0.8395513333333332,0.6010641,0.936356
11978-12702,MaNGA,medium scalar/IFU proxy analog,0.7350814625978959,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",11978-12702,1-294572,2112660200.0,10206092.436694058,1.445299505596646e-10,0.60368925,0.5892815,0.49903765,0.3653739158893798,transition-proxy,1.0,0.5799789270582503,0.9654369166666666,0.49903765,0.22143699999999988
8996-12703,MaNGA,medium scalar/IFU proxy analog,0.734390920145143,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8996-12703,1-149622,695084000.0,10605655.645937577,2.1059780733432416e-10,0.935876,0.441164,0.30833593,0.3791850760922926,transition-proxy,1.0,0.6617269225805718,0.854708,0.30833593,0.5176719999999999
11753-12703,MaNGA,medium scalar/IFU proxy analog,0.7319224458626449,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",11753-12703,1-606080,707933200.0,6346193.895863713,3.066930239147729e-10,2.1535072,0.2549598,0.44873488,0.229438717067583,low-proxy,1.0,0.7433519487839133,0.44883093333333335,0.44873488,0.8900803999999999
10496-12703,MaNGA,medium scalar/IFU proxy analog,0.7310958065407204,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",10496-12703,1-72413,455104000.0,6943998.509956286,8.39508850415067e-11,0.677233,0.312032,0.3320972,0.3967435771559482,transition-proxy,1.0,0.46201263949621474,0.9409223333333333,0.3320972,0.775936
12511-6103,MaNGA,medium scalar/IFU proxy analog,0.7304907041858016,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",12511-6103,1-53292,122469190.0,15601051.4845273,3.012801231222944e-10,1.4496949,0.5616959,0.54181045,0.3189821633120602,low-proxy,1.0,0.7394852400765402,0.6834350333333333,0.54181045,0.27660819999999986
9495-6103,MaNGA,medium scalar/IFU proxy analog,0.7292303745000001,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",9495-6103,1-298466,18580100.0,510949.0028249438,1.910488125366869e-08,1.31054,0.703413,0.22177583,0.3765832106038291,transition-proxy,1.0,1.0,0.72982,0.22177583,0.0
10844-12701,MaNGA,medium scalar/IFU proxy analog,0.7289170771388845,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",10844-12701,1-77934,648363000.0,9025372.02777507,8.283402863165546e-11,0.5534932,0.31612745,0.27288455,0.3734740631647848,transition-proxy,1.0,0.45910439188887153,0.9821689333333333,0.27288455,0.7677451
9049-6101,MaNGA,medium scalar/IFU proxy analog,0.7274670412297292,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",9049-6101,1-295506,69300300.0,5159493.857155698,1.4082982399099582e-10,0.927805,0.500678,0.4835743,0.3263459335624284,low-proxy,1.0,0.5743473182522498,0.8573983333333333,0.4835743,0.398644
7992-12703,MaNGA,medium scalar/IFU proxy analog,0.7271383498212465,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",7992-12703,1-594809,558295000.0,22443242.25915488,1.4613292362856543e-10,0.74163,0.29992,0.33341995,0.3563410243822615,transition-proxy,0.8920817161467852,0.5823740365755103,0.9194566666666667,0.33341995,0.8001599999999999
8331-12703,MaNGA,medium scalar/IFU proxy analog,0.7255474062136992,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8331-12703,1-250607,1273990000.0,17195978.12179122,1.7150959445202191e-10,0.949239,0.428076,0.36278197,0.409212894779905,transition-proxy,0.974695082929738,0.6171442100057778,0.8502536666666667,0.36278197,0.5438479999999999
11955-6101,MaNGA,medium scalar/IFU proxy analog,0.7233643601170557,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",11955-6101,1-152040,1418505700.0,21983149.641491394,1.9447072789913487e-10,0.8865846,0.36431417,0.3422704,0.365079365079365,transition-proxy,0.898507202713943,0.6444271198781584,0.8711384666666667,0.3422704,0.6713716599999999
8145-12705,MaNGA,medium scalar/IFU proxy analog,0.7232757592016275,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8145-12705,1-201352,825586000.0,10295518.14506538,5.578696516938109e-11,0.80815,0.214692,0.35627267,0.3270986745213549,low-proxy,1.0,0.37326636813984315,0.8972833333333333,0.35627267,0.9706159999999999
8152-12702,MaNGA,medium scalar/IFU proxy analog,0.7226947502875649,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8152-12702,1-232092,540642000.0,6142915.08168575,5.936378756788041e-11,0.85136,0.233478,0.374161,0.3437244313532973,transition-proxy,1.0,0.3867608011502597,0.88288,0.374161,0.933044
8987-6103,MaNGA,medium scalar/IFU proxy analog,0.7214649430444239,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8987-6103,1-386800,469655000.0,14072544.072842363,1.7263097803470158e-10,1.03969,0.765126,0.6853629,0.2057601047291768,low-proxy,1.0,0.6185593655110289,0.8201033333333333,0.6853629,0.0
11752-12705,MaNGA,medium scalar/IFU proxy analog,0.7210064182511442,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",11752-12705,1-54839,477925570.0,7747126.942926666,4.755948925052984e-10,1.8003128,0.73791695,0.65359527,0.1850106365570283,low-proxy,1.0,0.8386185910045763,0.5665624,0.65359527,0.0
9188-12701,MaNGA,medium scalar/IFU proxy analog,0.7209514558166651,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",9188-12701,1-51079,1709730000.0,17490184.64155802,5.565567538639424e-11,0.770147,0.27284,0.46340534,0.3909507445589919,transition-proxy,0.9694325755056539,0.372754728659876,0.909951,0.46340534,0.8543199999999999
9184-12702,MaNGA,medium scalar/IFU proxy analog,0.7196126108433596,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",9184-12702,1-201916,646142000.0,10185577.241376037,5.168320102659711e-11,1.06323,0.210847,0.46774668,0.3088528882343315,low-proxy,1.0,0.3566747020401051,0.8122566666666667,0.46774668,0.9783059999999999
8624-12705,MaNGA,medium scalar/IFU proxy analog,0.7189290132636508,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8624-12705,1-25729,1048340000.0,12417556.21395086,1.2017480758540216e-10,1.07622,0.393813,0.40753067,0.349386352479136,transition-proxy,1.0,0.5399067177212702,0.8079266666666666,0.40753067,0.6123739999999999
10515-3703,MaNGA,medium scalar/IFU proxy analog,0.7183387618376359,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",10515-3703,1-585742,1250170000.0,10642008.385157144,3.4915973673750405e-11,0.612592,0.240477,0.44041517,0.2578955981017836,low-proxy,1.0,0.2715120786838767,0.9624693333333333,0.44041517,0.9190459999999999
8548-9102,MaNGA,medium scalar/IFU proxy analog,0.71830743556426,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8548-9102,1-93352,506759000.0,17766114.760923326,3.5208494096939175e-10,1.22278,0.903383,0.55859196,0.2293568973981345,low-proxy,0.9645768120539687,0.7733237251256115,0.7590733333333333,0.55859196,0.0
9093-6104,MaNGA,medium scalar/IFU proxy analog,0.7157452981324108,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",9093-6104,1-296778,551852000.0,14588469.52171621,5.211659876897936e-11,0.5,0.308172,0.3183846,0.3998363606611029,transition-proxy,1.0,0.35848803252964334,1.0,0.3183846,0.7836559999999999
12490-12704,MaNGA,medium scalar/IFU proxy analog,0.7154998145036469,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",12490-12704,1-138401,1666325800.0,19402842.14233357,2.1416486852286656e-10,1.38524,0.9044551,0.8466705,0.171837669775814,low-proxy,0.9372390354575958,0.6653741154654726,0.70492,0.8466705,0.0
9870-12705,MaNGA,medium scalar/IFU proxy analog,0.7117032059134983,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",9870-12705,1-199283,835115000.0,14432439.108228205,6.283288919214029e-11,1.16287,0.277502,0.47747707,0.3266077565046637,low-proxy,1.0,0.39909351498732626,0.7790433333333334,0.47747707,0.8449959999999999
9509-12702,MaNGA,medium scalar/IFU proxy analog,0.7090447458111209,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",9509-12702,1-230060,882922000.0,12858979.383316224,7.946792596218115e-11,1.10348,0.338073,0.42911574,0.3406807396498117,transition-proxy,1.0,0.4500959392444841,0.7988399999999999,0.42911574,0.7238539999999999
11944-12702,MaNGA,medium scalar/IFU proxy analog,0.7088401362745421,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",11944-12702,1-200103,963403200.0,7482165.141403383,1.0449807499626088e-10,0.8800055,0.75566405,0.711902,0.2508918343969891,low-proxy,1.0,0.5095541450981687,0.8733314999999999,0.711902,0.0
8483-12704,MaNGA,medium scalar/IFU proxy analog,0.7079013922191201,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8483-12704,1-574361,618590000.0,10841909.696516149,7.810441869220084e-11,0.950107,0.500206,0.5757685,0.3675175912289314,transition-proxy,1.0,0.4463378022098139,0.8499643333333333,0.5757685,0.39958799999999983
8719-12704,MaNGA,medium scalar/IFU proxy analog,0.7077421231397647,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8719-12704,1-44880,630665000.0,8988082.496901402,3.187615484143145e-11,0.536692,0.242292,0.37142277,0.3764359351988218,transition-proxy,1.0,0.2517329638923922,0.9877693333333334,0.37142277,0.9154159999999999
8333-3702,MaNGA,medium scalar/IFU proxy analog,0.7065731515447446,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8333-3702,1-592881,1711490000.0,8930944.764704792,2.533924051028726e-10,0.930102,0.475839,0.09960146,0.4729422353133694,transition-proxy,1.0,0.7018967968456451,0.8566326666666667,0.09960146,0.4483219999999999
10837-12701,MaNGA,medium scalar/IFU proxy analog,0.7065638849552149,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",10837-12701,1-587194,665545700.0,19489336.363951173,4.784764554892868e-11,0.8228572,0.57166207,0.91119844,0.2483881525118638,low-proxy,0.9358592492112626,0.3399302861006781,0.8923809333333333,0.91119844,0.25667585999999987
9485-12702,MaNGA,medium scalar/IFU proxy analog,0.7045753878591332,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",9485-12702,1-121612,595898000.0,10848849.396014769,5.3370554650288655e-11,0.945792,0.222456,0.3191556,0.3659466535755195,transition-proxy,1.0,0.36365085810319986,0.8514026666666666,0.3191556,0.9550879999999999
7958-12701,MaNGA,medium scalar/IFU proxy analog,0.7041769339688709,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",7958-12701,1-177285,1245200000.0,21226470.84815505,1.406453853820705e-10,1.06999,0.465589,0.5264432,0.3864506627393225,transition-proxy,0.909373004590366,0.5740627437003782,0.8100033333333334,0.5264432,0.46882199999999996
8995-9102,MaNGA,medium scalar/IFU proxy analog,0.7025067771719576,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8995-9102,1-187866,435760000.0,14749779.113954738,7.858463808037894e-11,1.1117,0.405552,0.4831998,0.4045819014891179,transition-proxy,1.0,0.44766882868783053,0.7961,0.4831998,0.5888959999999999
8459-9102,MaNGA,medium scalar/IFU proxy analog,0.701509192925232,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",8459-9102,1-167013,393272000.0,17680575.094843637,2.52500459090763e-10,1.02184,0.779596,0.47462368,0.257257404680085,low-proxy,0.9660740091618671,0.7011310860400206,0.8260533333333333,0.47462368,0.0
7981-9101,MaNGA,medium scalar/IFU proxy analog,0.7003958228966608,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",7981-9101,1-115863,1636470000.0,14059458.157171205,9.798430198614839e-11,0.907037,0.646359,0.6193924,0.34357715594829,transition-proxy,1.0,0.49557825158664315,0.864321,0.6193924,0.10728199999999988
9038-9101,MaNGA,medium scalar/IFU proxy analog,0.7003914936966366,1.0,,inspect IFU kinematics and obtain gas/rotation diagnostics,"low surface density, active star formation, disk-like morphology, and possible low-settling kinematics","use as broad pre-transition neighborhood, not as direct activation detections",9038-9101,1-248111,527985000.0,15663079.251335047,1.0647246356407676e-10,0.9549,0.347766,0.21244465,0.410554737358861,transition-proxy,1.0,0.5136186514532124,0.8483666666666667,0.21244465,0.7044679999999999
