galaxy_name,taxonomy_stage,priority_score,reason,recommended_next_data,A_flip_m39,D_unsettled_m39,target_activation,contamination_flags
UGC05005,juvenile_forming,0.8121852356467133,gas-rich; extended H I,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.0371956345750194,0.9628043654249806,0.8403410231539875,hi_extended
UGC06667,juvenile_forming,0.7949018815748368,non-mature inverse-rank follow-up,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.20953725923661903,0.790462740763381,1.0,none_available
F583-1,juvenile_forming,0.7791410775516351,gas-rich; extended H I,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.09426907299827958,0.9057309270017204,0.8682175583963055,hi_extended
NGC0100,juvenile_forming,0.7435987623934508,extended H I,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.026565623384964154,0.9734343766150358,0.7574205131254876,hi_extended
DDO064,juvenile_forming,0.7150842830399565,gas-rich,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.05345586640190081,0.9465441335980992,0.7313883056240699,measurement_contamination
UGC04499,juvenile_forming,0.7023235758440364,gas-rich,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.03244156395902997,0.96755843604097,0.7308090958470224,none_available
UGC07524,juvenile_forming,0.6649567411244837,gas-rich,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.0545556942671348,0.9454443057328652,0.7140784731274675,none_available
NGC5055,disturbed_or_measurement_contaminated,0.646023590524295,resolved H I disorder proxy; extended H I,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.023741695550297592,0.9762583044497024,0.4049988834479593,hi_disturbed;approach_recede_mismatch;hi_disturbance;hi_extended
UGC10310,juvenile_forming,0.6452539962480588,non-mature inverse-rank follow-up,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.03161293665346321,0.9683870633465368,0.6433123110527825,measurement_contamination
UGC01230,juvenile_forming,0.5935292710844423,gas-rich,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.038726315237856745,0.9612736847621433,0.5981967627928872,measurement_contamination
UGC12632,juvenile_forming,0.5265953544067439,gas-rich,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.06569275758600202,0.934307242413998,0.5876019195241267,none_available
UGC07125,failed_stalled,0.5015049772901158,failed/stalled inverse-axis check; gas-rich; extended H I,"resolved H I velocity field, SFR/SFE/depletion time, stellar age/metallicity, outer-curve reliability, environment/tidal audit",0.07142842383739956,0.9285715761626004,0.185688488795864,quarantine;hi_extended
DDO161,juvenile_forming,0.49022064901431506,gas-rich; extended H I,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.07718433986544637,0.9228156601345536,0.5612513207542514,hi_extended
UGC00731,juvenile_forming,0.4854889024919922,gas-rich,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.21374929838011725,0.7862507016198828,0.695472852986707,none_available
UGC05721,juvenile_forming,0.4513659617933075,gas-rich; extended H I,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.5975713029494779,0.4024286970505221,1.0,measurement_contamination;hi_extended
NGC1003,juvenile_forming,0.1254692170241226,gas-rich; extended H I,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.804864057155929,0.195135942844071,0.6959850040662326,hi_extended
NGC3741,juvenile_forming,0.12445945574078268,gas-rich; extended H I,"SFR/SFE/depletion crossmatch, resolved H I asymmetry/warp, approaching-receding curve split, outer endpoint reliability",0.8925704843789778,0.1074295156210222,1.0,hi_extended
