galaxy_name,dataset,A_inferred,A_pred,A_class,f_star,f_gas,log10_Sigma_b,RHI_Rd,alpha_BTFR,BTFR_offset_dex,v_obs,v_newton,v_bdvr_full,analog_score,analog_tier,data_completeness,missing_fields,notes,passes_direct_analog_rule,T,Vflat,e_Vflat,Rdisk,RHI,Inc,D,Ref,M_baryon_Msun,M_star_Msun,M_gas_Msun,Rdisk_kpc,A_implied,A_gov,maturity_class,log10_velocity_error_full_bdvr,log_j_obs_target,base_pred_oof,log_j_pred_oof,residual_before,residual_after,velocity_fractional_error,bdvr_overprediction_dex,angular_residual_abs,gas_rich_flag,low_stellar_flag,diffuse_flag,hi_extended_flag,severe_underrotation_flag,measurement_contamination_flag,failed_stalled_indicator_bundle,taxonomy_stage,boundary_stage,true_falsifier_followup_required,classification_reason,claim_boundary,followup_priority_rank,recommended_followup
UGC07125,SPARC,0.0,0.0569755726395712,low,0.1804974862131068,0.8195025137868931,8.019775262749231,6.816568047337278,0.3886403773950502,-0.2052260404052944,65.2,79.83207120362623,131.5727751579399,0.8225295261500776,strong direct analog,1.0,,passes direct low-activation gas-rich UGC07125 analog rule,True,9.0,65.2,2.1,3.38,23.04,90.0,19.8,"Sw09,Sw02",7512569999.999999,1356000000.0,6156569999.999999,3.38,0.0,0.0012464777138904,juvenile,0.210363897624577,2.644194291673556,2.818465336724585,2.815242419570846,0.1742710450510287,0.1710481278972899,0.032208588957055216,0.30491843927661133,0.1710481278972899,True,True,True,True,True,False,True,failed_stalled,True,False,"gas-rich, low-stellar, diffuse/H I-extended, and severely under-rotating; not a juvenile prototype but a failed/stalled boundary-object candidate",boundary-object interpretation; resolved H I and stellar-population follow-up required,2,"high: H I surface-density map, depletion time, stellar age/metallicity, environment/tidal history"
NGC1003,SPARC,0.0,6.949955689801264e-07,low,0.3036401196751674,0.6963598803248326,8.838563604646323,20.701863354037265,0.9014757763671736,-0.0225229693745119,109.8,115.6445870046507,163.5461433570124,0.5612610213568766,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,6.0,109.8,4.2,1.61,33.33,67.0,11.4,"Sa96,Br92",11230400000.0,3410000000.0,7820400000.0,1.61,0.0,0.0267371588548037,transition,0.0363757592757086,2.548458211809904,2.552314671017809,2.571826146517468,0.0038564592079048,0.0233679347075637,0.03825136612021858,0.17303796720650255,0.0233679347075637,True,True,False,True,True,False,True,failed_stalled,True,False,gas-rich low-stellar boundary object with severe under-rotation; candidate stalled or nonparticipating-gas system,boundary-object interpretation; resolved H I and stellar-population follow-up required,2,"high: H I surface-density map, depletion time, stellar age/metallicity, environment/tidal history"
NGC0100,SPARC,0.0483685791885847,0.045807781834274,low,0.3791024468060149,0.620897553193985,8.391288724537977,9.855421686746988,0.9420119798742904,-0.0129717870535531,88.1,85.80840348533991,124.90988105768707,0.4856402229801067,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,6.0,88.1,6.4,1.66,16.36,89.0,13.5,"dB02,Rh96",4262700000.0,1616000000.0,2646700000.0,1.66,0.371210947874995,0.0816399210386158,transition,0.0181096442728357,2.466113992116084,2.498361436573413,2.494870557872088,0.0322474444573295,0.0287565657560033,0.07264472190692396,0.15162088639997492,0.0287565657560033,True,True,True,True,True,False,True,failed_stalled,True,False,gas-rich low-stellar boundary object with severe under-rotation; candidate stalled or nonparticipating-gas system,boundary-object interpretation; resolved H I and stellar-population follow-up required,2,"high: H I surface-density map, depletion time, stellar age/metallicity, environment/tidal history"
UGC12632,SPARC,0.2358153046652741,0.1019978201767918,low,0.2190220941273122,0.7809779058726878,7.906948773530353,5.206611570247934,0.7474903975360241,-0.0631971910160831,71.7,59.32168592694667,101.9636973966053,0.3790431065811609,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,9.0,71.7,2.8,2.42,12.6,46.0,9.77,"Sw09,Sw02",2970020000.0000005,650500000.0,2319520000.0000005,2.42,0.4603360351660011,0.002169378054233,juvenile,0.0683350482353658,2.5403645173122125,2.5963402753171065,2.5957109423142155,0.055975758004894,0.055346425002003,0.03905160390516039,0.15292641975466326,0.055346425002003,True,True,True,True,True,False,True,failed_stalled,True,False,gas-rich low-stellar boundary object with severe under-rotation; candidate stalled or nonparticipating-gas system,boundary-object interpretation; resolved H I and stellar-population follow-up required,2,"high: H I surface-density map, depletion time, stellar age/metallicity, environment/tidal history"
UGC01230,SPARC,0.1843310717632547,0.225038640079554,low,0.3082050493856122,0.6917949506143878,8.01892589871753,6.057603686635945,0.7664112892547481,-0.057769053357676,103.7,90.37311035539408,148.99169461495998,0.2031297244882203,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,9.0,103.7,6.1,4.34,26.29,22.0,53.7,"dB02,VdH93",12361900000.0,3810000000.0,8551900000.0,4.34,0.4171682814060387,0.0156084774978943,transition,0.0629069105769587,2.954298481565533,2.978824779573292,2.9773426244733865,0.0245262980077591,0.0230441429078536,0.0588235294117647,0.1573833034096436,0.0230441429078536,True,True,True,True,True,True,True,disturbed_or_measurement_contaminated,True,False,"severe mismatch is present, but scalar geometry/velocity-quality flags require quarantine before physical interpretation",quarantine class; not a physical explanation,3,high: geometry/measurement audit before physical classification
UGC10310,SPARC,0.1880529954543233,0.3489486230735011,transition,0.3536921314166375,0.6463078685833624,8.082418498709004,5.322222222222222,0.8142761760606692,-0.0446141357638089,71.4,62.61478841403559,100.90261490870216,0.115596238336635,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,9.0,71.4,3.9,1.8,9.58,34.0,15.2,"Sw09,Sw02",2461180000.0,870500000.0,1590680000.0,1.8,0.4728280083144021,0.0384787918419298,transition,0.0497519929830916,2.4100007125434617,2.4750699079867657,2.472227790245569,0.065069195443304,0.0622270777021074,0.05462184873949579,0.15020420942312207,0.0622270777021074,True,True,True,True,True,True,True,disturbed_or_measurement_contaminated,True,False,"severe mismatch is present, but scalar geometry/velocity-quality flags require quarantine before physical interpretation",quarantine class; not a physical explanation,3,high: geometry/measurement audit before physical classification
NGC3741,SPARC,0.2429440357042695,2.9270354848709123e-08,low,0.0546746856205576,0.9453253143794424,9.008101881468578,21.0,1.2429440357042696,0.0472257873570314,50.1,44.93781360356508,63.55166546155591,0.6475466173995388,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,10.0,50.1,2.1,0.2,4.2,70.0,3.21,"Ge07,Bm05",256060000.0,14000000.0,242060000.0,0.2,1.0,0.0001596685608424,juvenile,-0.0288969924375985,1.3018977171952082,1.2783763114774476,1.3067669838092717,-0.0235214057177606,0.0048692666140632,0.041916167664670656,0.10328921047495924,0.0048692666140632,True,True,False,True,False,False,True,juvenile_forming,True,False,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,juvenile/forming candidate only; not an age determination,4,medium: check whether gas converts and disk settles in matched analogs
F583-1,SPARC,0.4575272134013476,0.03859481902144,low,0.1484680387161279,0.8515319612838721,7.97721007350196,6.63135593220339,1.0123124902547902,0.0026572976770827,85.8,63.5173621461452,106.33229803388308,0.5308379172625429,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,9.0,85.8,3.6,2.36,15.65,63.0,35.4,"KN08,dB96",3320580000.0,493000000.0,2827580000.0,2.36,0.9752101366470044,0.0005827180184611,juvenile,0.0024805595421997,2.6074292864827933,2.564239805913379,2.5594826985929324,-0.0431894805694144,-0.0479465878898608,0.04195804195804196,0.09317791202147249,0.0479465878898608,True,True,True,True,False,False,True,juvenile_forming,True,False,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,juvenile/forming candidate only; not an age determination,4,medium: check whether gas converts and disk settles in matched analogs
UGC00731,SPARC,0.3403743757108149,0.0132107575941242,low,0.0629676272316467,0.9370323727683532,7.887419657901373,5.030434782608697,0.8406734729760171,-0.037686328154091,73.3,56.54642622698138,97.9217636285003,0.5100359923476293,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,10.0,73.3,2.3,2.3,11.57,57.0,12.5,"Sw09,Sw02",2564810000.0,161500000.0,2403310000.0,2.3,0.6500113464725119,7.572788737090526e-05,juvenile,0.0428241853733737,2.527861806322702,2.5092097096227843,2.5054126334341675,-0.0186520966999177,-0.0224491728885345,0.03137789904502046,0.12577525212960133,0.0224491728885345,True,True,True,True,False,False,True,juvenile_forming,True,False,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,juvenile/forming candidate only; not an age determination,4,medium: check whether gas converts and disk settles in matched analogs
UGC08550,SPARC,0.1169759669107838,0.0021344726690485,low,0.2739128786442734,0.7260871213557266,8.617650499095362,12.42222222222222,1.1169759669107835,0.0240219144224796,56.9,53.83817774827711,76.13868114506687,0.5032712885064344,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,7.0,56.9,1.9,0.45,5.59,90.0,6.7,"Sw09,Sw02",527540000.0,144500000.0,383040000.0,0.45,1.0,0.0145845327972755,juvenile,-0.015796618855572,1.709354775834396,1.7294999755950735,1.7332093025620825,0.0201451997606774,0.0238545267276863,0.033391915641476276,0.12649308340951101,0.0238545267276863,True,True,False,True,False,False,True,juvenile_forming,True,False,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,juvenile/forming candidate only; not an age determination,4,medium: check whether gas converts and disk settles in matched analogs
NGC3109,SPARC,0.8901519051983414,0.0247194320162151,low,0.1326205548187747,0.8673794451812253,7.679731828746212,3.846153846153846,1.284051745442076,0.0542912627648367,66.2,36.66567030775728,68.97353913109752,0.4835203786558566,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,9.0,66.2,2.6,1.56,6.0,70.0,1.33,"Be91,JC90",731410000.0,97000000.0,634410000.0,1.56,1.0,0.0001894390324243,juvenile,-0.049153405545554,2.3150125834581425,2.2547797035702453,2.2529755901346267,-0.0602328798878972,-0.0620369933235158,0.03927492447129909,0.017824521392974062,0.0620369933235158,True,True,True,False,False,False,True,juvenile_forming,True,False,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,juvenile/forming candidate only; not an age determination,4,medium: check whether gas converts and disk settles in matched analogs
F563-1,SPARC,0.8604545272626233,0.0455905914114174,low,0.1827172347575612,0.8172827652424388,7.825364083305407,6.667613636363636,1.3262571525907416,0.0613138695469941,109.9,65.1305564828556,115.53712873093724,0.4625524846954478,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,9.0,109.9,12.5,3.52,23.47,25.0,48.9,"KN08,dB96",5207500000.0,951500000.0,4256000000.0,3.52,1.0,0.0008343350747125,juvenile,-0.0561760123277115,2.888570351565603,2.7880828871044847,2.784573445569549,-0.1004874644611182,-0.1039969059960537,0.11373976342129208,0.021723878053804876,0.1039969059960537,True,True,True,True,False,True,True,juvenile_forming,True,False,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,juvenile/forming candidate only; not an age determination,4,medium: check whether gas converts and disk settles in matched analogs
UGCA442,SPARC,0.8357226258459113,0.0385646275951412,low,0.1667500416875104,0.8332499583124896,7.681088205881671,3.703389830508475,1.230238055437714,0.0449945785487826,56.4,31.938647562480995,60.0476737357238,0.4407901648948851,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,9.0,56.4,2.1,1.18,4.37,64.0,4.35,Co00,419790000.00000006,70000000.0,349790000.00000006,1.18,1.0,0.0003923017470508,juvenile,-0.0398567213295,2.124191106953449,2.090106477509606,2.0890728139031443,-0.0340846294438428,-0.0351182930503046,0.037234042553191495,0.027217083387427846,0.0351182930503046,True,True,True,False,False,False,True,juvenile_forming,True,False,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,juvenile/forming candidate only; not an age determination,4,medium: check whether gas converts and disk settles in matched analogs
UGC06446,SPARC,0.3738974768125985,0.0930750858705968,low,0.2121929323430996,0.7878070676569003,8.222443629281738,6.932885906040268,1.1096668479966292,0.0225963057023995,82.2,66.93393602930357,102.80672444298008,0.3852083733687497,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,7.0,82.2,4.3,1.49,10.33,51.0,12.0,"VS01,SV98",2328070000.0,494000000.0,1834070000.0,1.49,1.0,0.0032777883689771,juvenile,-0.0174584484831169,2.389088081616306,2.3521716138700715,2.3477916884979453,-0.0369164677462343,-0.0412963931183605,0.052311435523114354,0.09714970463835816,0.0412963931183605,True,True,True,True,False,False,True,juvenile_forming,True,False,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,juvenile/forming candidate only; not an age determination,4,medium: check whether gas converts and disk settles in matched analogs
UGC05721,SPARC,0.581493780296395,9.889680927707372e-06,low,0.2621031432633075,0.7378968567366925,9.04784523458566,17.736842105263158,1.581493780296395,0.0995337441302128,79.7,63.37596383972424,89.62714759060488,0.3757871203527665,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,7.0,79.7,6.6,0.38,6.74,61.0,6.18,"dB02,Sw02",1012960000.0,265500000.0,747460000.0000001,0.38,1.0,0.0123927367342332,juvenile,-0.0801521202630766,1.7822719136769036,1.7096629325989772,1.709621926412272,-0.0726089810779264,-0.0726499872646315,0.08281053952321203,0.050981253701777834,0.0726499872646315,True,True,False,True,False,True,True,juvenile_forming,True,False,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,juvenile/forming candidate only; not an age determination,4,medium: check whether gas converts and disk settles in matched analogs
D631-7,SPARC,0.485657152604677,0.1046456040433676,low,0.2026049204052098,0.7973950795947902,8.196200139001826,0.0,1.1995285143609031,0.039505288087067,57.7,44.51234813364735,68.96990630877566,0.3250264231606687,control/non-analog,0.8571428571428571,RHI_over_Rdisk,does not pass all direct UGC07125 analog criteria,False,10.0,57.7,2.7,0.7,0.0,59.0,7.72,"Tr09,dB01",483700000.0,98000000.0,385700000.0,0.7,1.0,0.0026071144354172,juvenile,-0.0343674308677844,1.9073038488339693,1.899489649880274,1.896251490708272,-0.0078141989536955,-0.0110523581256976,0.04679376083188908,0.07748382287222168,0.0110523581256976,True,True,True,False,False,False,True,juvenile_forming,True,False,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,juvenile/forming candidate only; not an age determination,4,medium: check whether gas converts and disk settles in matched analogs
DDO064,SPARC,0.2646023742458992,0.1280154918424996,low,0.2185837997382563,0.7814162002617436,8.0793736356896,5.057971014492754,0.8886341551469169,-0.0256384992124591,46.1,38.63160738634843,62.3213261879251,0.3198060103631345,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,10.0,46.1,3.9,0.69,3.49,60.0,6.8,"dB02,Sw02",359130000.0,78500000.0,280630000.0,0.69,0.6616530520378597,0.0030496350599037,juvenile,0.0307763564317417,1.803580011790885,1.8652282833354783,1.86111010819892,0.0616482715445936,0.0575300964080354,0.08459869848156182,0.13093576109080446,0.0575300964080354,True,True,True,True,False,True,True,juvenile_forming,True,False,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,juvenile/forming candidate only; not an age determination,4,medium: check whether gas converts and disk settles in matched analogs
UGC08490,SPARC,0.2785281329642021,0.0075685252157363,low,0.3468385512584407,0.6531614487415592,8.715834119988067,11.641791044776118,1.2785281329642022,0.0533551443808987,78.6,69.51321923812193,98.3065374107664,0.312847539052674,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,9.0,78.6,3.8,0.67,7.8,50.0,4.65,"Sw09,Sw02",1466100000.0,508500000.0,957600000.0,0.67,1.0,0.0558801847180644,transition,-0.0426713856184661,2.022527344404216,2.005490508474428,2.002917605934347,-0.0170368359297876,-0.0196097384698683,0.04834605597964377,0.09715985345109189,0.0196097384698683,True,True,False,True,False,False,True,juvenile_forming,True,False,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,juvenile/forming candidate only; not an age determination,4,medium: check whether gas converts and disk settles in matched analogs
NGC5585,SPARC,0.1562988738825308,0.3356922793457647,transition,0.3966424880522063,0.6033575119477936,8.401798302775038,7.137254901960784,1.060820680908219,0.0128209888998675,90.3,83.3827630566897,120.99285824322882,0.2016136835292635,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,7.0,90.3,2.4,1.53,10.92,51.0,7.06,"Bl99,Sa96,Co91",3709890000.000001,1471500000.0,2238390000.0000005,1.53,1.0,0.1062999209968243,transition,-0.0076831316805849,2.441409176795086,2.4542422735632963,2.4526889467874997,0.0128330967682104,0.0112797699924134,0.026578073089700997,0.12707198597737646,0.0112797699924134,True,True,True,True,False,False,True,juvenile_forming,True,False,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,juvenile/forming candidate only; not an age determination,4,medium: check whether gas converts and disk settles in matched analogs
UGC07603,SPARC,0.3166759787314879,0.1553591390891557,low,0.3539556425801107,0.6460443574198893,8.47847740168307,8.245283018867925,1.304679724565629,0.057751956632184,61.6,53.605339526734014,76.03916772502603,0.1964272406072295,control/non-analog,1.0,,does not pass all direct UGC07125 analog criteria,False,7.0,61.6,2.8,0.53,4.37,78.0,4.7,"Sw09,Sw02",531140000.0,188000000.0,343140000.0,0.53,1.0,0.0578969392340187,transition,-0.0526140994129014,1.814886577429196,1.819983991090221,1.816493712259321,0.0050974136610248,0.0016071348301252,0.04545454545454545,0.09145664255177434,0.0016071348301252,True,True,True,True,False,False,True,juvenile_forming,True,False,gas-rich low-stellar diffuse/extended system without current severe under-rotation; plausible forming-disk member rather than UGC07125-style failed object,juvenile/forming candidate only; not an age determination,4,medium: check whether gas converts and disk settles in matched analogs
