survey,priority_rank,target_name,normalized_target_name,survey_role,expected_observable_class,source_status,direct_measurement_available_now,tier_a_promotion_allowed,next_action
LITTLE THINGS,1,DDO 210,DDO210,priority_one_low_organization_dwarf_rotation_and_hi_kinematics,"R/T/D/X split from resolved H I, dispersion, mass models",target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LITTLE THINGS,1,DDO 216,DDO216,priority_one_low_organization_dwarf_rotation_and_hi_kinematics,"R/T/D/X split from resolved H I, dispersion, mass models",target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LITTLE THINGS,1,IC 10,IC0010,priority_one_low_organization_dwarf_rotation_and_hi_kinematics,"R/T/D/X split from resolved H I, dispersion, mass models",target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LITTLE THINGS,1,IC 1613,IC1613,priority_one_low_organization_dwarf_rotation_and_hi_kinematics,"R/T/D/X split from resolved H I, dispersion, mass models",target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LITTLE THINGS,1,NGC 1569,NGC1569,priority_one_low_organization_dwarf_rotation_and_hi_kinematics,"R/T/D/X split from resolved H I, dispersion, mass models",target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LITTLE THINGS,1,NGC 2366,NGC2366,priority_one_low_organization_dwarf_rotation_and_hi_kinematics,"R/T/D/X split from resolved H I, dispersion, mass models",target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LITTLE THINGS,1,NGC 3738,NGC3738,priority_one_low_organization_dwarf_rotation_and_hi_kinematics,"R/T/D/X split from resolved H I, dispersion, mass models",target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LITTLE THINGS,1,UGC 8508,UGC08508,priority_one_low_organization_dwarf_rotation_and_hi_kinematics,"R/T/D/X split from resolved H I, dispersion, mass models",target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LITTLE THINGS,1,WLM,WLM,priority_one_low_organization_dwarf_rotation_and_hi_kinematics,"R/T/D/X split from resolved H I, dispersion, mass models",target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LITTLE THINGS,1,Haro 29,Haro29,priority_one_low_organization_dwarf_rotation_and_hi_kinematics,"R/T/D/X split from resolved H I, dispersion, mass models",target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
VLA-ANGST,2,DDO 53,DDO053,resolved_hi_and_star_formation_history_state_not_age_test,T/D/X settling state and recent assembly,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
VLA-ANGST,2,DDO 63,DDO063,resolved_hi_and_star_formation_history_state_not_age_test,T/D/X settling state and recent assembly,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
VLA-ANGST,2,DDO 75,DDO075,resolved_hi_and_star_formation_history_state_not_age_test,T/D/X settling state and recent assembly,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
VLA-ANGST,2,DDO 82,DDO082,resolved_hi_and_star_formation_history_state_not_age_test,T/D/X settling state and recent assembly,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
VLA-ANGST,2,DDO 87,DDO087,resolved_hi_and_star_formation_history_state_not_age_test,T/D/X settling state and recent assembly,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
VLA-ANGST,2,DDO 125,DDO125,resolved_hi_and_star_formation_history_state_not_age_test,T/D/X settling state and recent assembly,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
VLA-ANGST,2,DDO 181,DDO181,resolved_hi_and_star_formation_history_state_not_age_test,T/D/X settling state and recent assembly,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
VLA-ANGST,2,DDO 187,DDO187,resolved_hi_and_star_formation_history_state_not_age_test,T/D/X settling state and recent assembly,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
VLA-ANGST,2,IC 10,IC0010,resolved_hi_and_star_formation_history_state_not_age_test,T/D/X settling state and recent assembly,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
VLA-ANGST,2,IC 1613,IC1613,resolved_hi_and_star_formation_history_state_not_age_test,T/D/X settling state and recent assembly,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
VLA-ANGST,2,NGC 1569,NGC1569,resolved_hi_and_star_formation_history_state_not_age_test,T/D/X settling state and recent assembly,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
VLA-ANGST,2,NGC 2366,NGC2366,resolved_hi_and_star_formation_history_state_not_age_test,T/D/X settling state and recent assembly,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
VLA-ANGST,2,WLM,WLM,resolved_hi_and_star_formation_history_state_not_age_test,T/D/X settling state and recent assembly,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
SHIELD,3,AGC 748778,AGC748778,extreme_low_mass_rotation_dispersion_degeneracy_test,D/T pressure-supported or ambiguous low-mass edge,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
SHIELD,3,AGC 749237,AGC749237,extreme_low_mass_rotation_dispersion_degeneracy_test,D/T pressure-supported or ambiguous low-mass edge,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
SHIELD,3,AGC 110482,AGC110482,extreme_low_mass_rotation_dispersion_degeneracy_test,D/T pressure-supported or ambiguous low-mass edge,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
SHIELD,3,AGC 111164,AGC111164,extreme_low_mass_rotation_dispersion_degeneracy_test,D/T pressure-supported or ambiguous low-mass edge,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
SHIELD,3,AGC 111946,AGC111946,extreme_low_mass_rotation_dispersion_degeneracy_test,D/T pressure-supported or ambiguous low-mass edge,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
SHIELD,3,AGC 112521,AGC112521,extreme_low_mass_rotation_dispersion_degeneracy_test,D/T pressure-supported or ambiguous low-mass edge,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
SHIELD,3,AGC 174585,AGC174585,extreme_low_mass_rotation_dispersion_degeneracy_test,D/T pressure-supported or ambiguous low-mass edge,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
SHIELD,3,AGC 174605,AGC174605,extreme_low_mass_rotation_dispersion_degeneracy_test,D/T pressure-supported or ambiguous low-mass edge,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
SHIELD,3,AGC 182595,AGC182595,extreme_low_mass_rotation_dispersion_degeneracy_test,D/T pressure-supported or ambiguous low-mass edge,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
SHIELD,3,AGC 731457,AGC731457,extreme_low_mass_rotation_dispersion_degeneracy_test,D/T pressure-supported or ambiguous low-mass edge,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
SHIELD,3,AGC 749241,AGC749241,extreme_low_mass_rotation_dispersion_degeneracy_test,D/T pressure-supported or ambiguous low-mass edge,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
SHIELD,3,AGC 749290,AGC749290,extreme_low_mass_rotation_dispersion_degeneracy_test,D/T pressure-supported or ambiguous low-mass edge,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
FIGGS,4,DDO 210,DDO210,faint_gas_rich_extended_hi_baseline,T/D/X low-stellar-fraction H I extent and offsets,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
FIGGS,4,DDO 216,DDO216,faint_gas_rich_extended_hi_baseline,T/D/X low-stellar-fraction H I extent and offsets,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
FIGGS,4,NGC 3741,NGC3741,faint_gas_rich_extended_hi_baseline,T/D/X low-stellar-fraction H I extent and offsets,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
FIGGS,4,And IV,ANDIV,faint_gas_rich_extended_hi_baseline,T/D/X low-stellar-fraction H I extent and offsets,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
FIGGS,4,KKH 98,KKH98,faint_gas_rich_extended_hi_baseline,T/D/X low-stellar-fraction H I extent and offsets,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
FIGGS,4,UGC 8508,UGC08508,faint_gas_rich_extended_hi_baseline,T/D/X low-stellar-fraction H I extent and offsets,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
FIGGS,4,WLM,WLM,faint_gas_rich_extended_hi_baseline,T/D/X low-stellar-fraction H I extent and offsets,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
FIGGS2,4,And IV,ANDIV,ultra_faint_hi_offset_followup,D/X optical-H I offset and unresolved rotation,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
FIGGS2,4,KKH 98,KKH98,ultra_faint_hi_offset_followup,D/X optical-H I offset and unresolved rotation,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
FIGGS2,4,Leo T,LEOT,ultra_faint_hi_offset_followup,D/X optical-H I offset and unresolved rotation,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
FIGGS2,4,UGCA 92,UGCA92,ultra_faint_hi_offset_followup,D/X optical-H I offset and unresolved rotation,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LVHIS,5,NGC 55,NGC0055,larger_southern_local_volume_hi_context,R/T/D/X after geometry and kinematic-quality audit,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LVHIS,5,NGC 300,NGC0300,larger_southern_local_volume_hi_context,R/T/D/X after geometry and kinematic-quality audit,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LVHIS,5,NGC 3109,NGC3109,larger_southern_local_volume_hi_context,R/T/D/X after geometry and kinematic-quality audit,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LVHIS,5,NGC 3741,NGC3741,larger_southern_local_volume_hi_context,R/T/D/X after geometry and kinematic-quality audit,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LVHIS,5,IC 5152,IC5152,larger_southern_local_volume_hi_context,R/T/D/X after geometry and kinematic-quality audit,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
LVHIS,5,ESO 215-G009,ESO215G009,larger_southern_local_volume_hi_context,R/T/D/X after geometry and kinematic-quality audit,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
MHONGOOSE,6,NGC 1566,NGC1566,watch_deep_meerkat_outer_hi_structure,deep outer H I asymmetry/warp follow-up,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
MHONGOOSE,6,NGC 5068,NGC5068,watch_deep_meerkat_outer_hi_structure,deep outer H I asymmetry/warp follow-up,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
MHONGOOSE,6,NGC 7424,NGC7424,watch_deep_meerkat_outer_hi_structure,deep outer H I asymmetry/warp follow-up,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
WALLABY,7,survey_level_watchlist,SURVEYLEVELWATCHLIST,watch_large_askap_low_rotation_catalog,large sample candidate discovery with resolution caveat,target_registry_not_measurement,False,False,acquire source-level same-object kinematic/settling measurements before any direct-label promotion
