galaxy_name,A_inferred,A_pred_m9,D_maturity,R_reservoir,DR_interaction,J_lambda,J_lambda_z,f_star,f_gas,log10_Sigma_b,RHI_over_Rdisk,Rdisk_kpc,Vflat,M_baryon_Msun,m59_backbone_context_available,m59_organization_label_score,m59_rhi_extent_organization_score,A_rank_m70,A_bounded_m70,model_family,feature_template,uses_angular_momentum,uses_m59_backbone,ugc07125_status,norm,object_name,taxonomy_stage,organization_label_score,rhi_extent_organization_score,quality_quarantined,measurement_limited,clean_scalar_sample,candidate_tier,missing_label_count,target_role,acquisition_priority_rank,observation_class,branch_reason,clean_rotation_response_usable,direct_settling_measurement_available,survey,source_status,vrot_sigma_direct,hi_asymmetry_direct,centroid_offset_direct,warp_pa_twist_direct,lopsidedness_direct
DDO 168,,,,,,,,,,,,,,,,,,,,,,,,,DDO168,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LITTLE THINGS,target_registry_not_measurement,,,,,
DDO 210,,,,,,,,,,,,,,,,,,,,,,,,,DDO210,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LITTLE THINGS,target_registry_not_measurement,,,,,
DDO 216,,,,,,,,,,,,,,,,,,,,,,,,,DDO216,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LITTLE THINGS,target_registry_not_measurement,,,,,
IC 10,,,,,,,,,,,,,,,,,,,,,,,,,IC0010,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LITTLE THINGS,target_registry_not_measurement,,,,,
IC 1613,,,,,,,,,,,,,,,,,,,,,,,,,IC1613,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LITTLE THINGS,target_registry_not_measurement,,,,,
NGC 1569,,,,,,,,,,,,,,,,,,,,,,,,,NGC1569,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LITTLE THINGS,target_registry_not_measurement,,,,,
NGC 2366,,,,,,,,,,,,,,,,,,,,,,,,,NGC2366,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LITTLE THINGS,target_registry_not_measurement,,,,,
NGC 3738,,,,,,,,,,,,,,,,,,,,,,,,,NGC3738,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LITTLE THINGS,target_registry_not_measurement,,,,,
UGC 8508,,,,,,,,,,,,,,,,,,,,,,,,,UGC08508,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LITTLE THINGS,target_registry_not_measurement,,,,,
WLM,,,,,,,,,,,,,,,,,,,,,,,,,WLM,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LITTLE THINGS,target_registry_not_measurement,,,,,
Haro 29,,,,,,,,,,,,,,,,,,,,,,,,,Haro29,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LITTLE THINGS,target_registry_not_measurement,,,,,
DDO 53,,,,,,,,,,,,,,,,,,,,,,,,,DDO053,,,,,,,,,,,,T,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,VLA-ANGST,target_registry_not_measurement,,,,,
DDO 63,,,,,,,,,,,,,,,,,,,,,,,,,DDO063,,,,,,,,,,,,T,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,VLA-ANGST,target_registry_not_measurement,,,,,
DDO 75,,,,,,,,,,,,,,,,,,,,,,,,,DDO075,,,,,,,,,,,,T,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,VLA-ANGST,target_registry_not_measurement,,,,,
DDO 82,,,,,,,,,,,,,,,,,,,,,,,,,DDO082,,,,,,,,,,,,T,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,VLA-ANGST,target_registry_not_measurement,,,,,
DDO 87,,,,,,,,,,,,,,,,,,,,,,,,,DDO087,,,,,,,,,,,,T,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,VLA-ANGST,target_registry_not_measurement,,,,,
DDO 125,,,,,,,,,,,,,,,,,,,,,,,,,DDO125,,,,,,,,,,,,T,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,VLA-ANGST,target_registry_not_measurement,,,,,
DDO 181,,,,,,,,,,,,,,,,,,,,,,,,,DDO181,,,,,,,,,,,,T,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,VLA-ANGST,target_registry_not_measurement,,,,,
DDO 187,,,,,,,,,,,,,,,,,,,,,,,,,DDO187,,,,,,,,,,,,T,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,VLA-ANGST,target_registry_not_measurement,,,,,
IC 10,,,,,,,,,,,,,,,,,,,,,,,,,IC0010,,,,,,,,,,,,T,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,VLA-ANGST,target_registry_not_measurement,,,,,
IC 1613,,,,,,,,,,,,,,,,,,,,,,,,,IC1613,,,,,,,,,,,,T,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,VLA-ANGST,target_registry_not_measurement,,,,,
NGC 1569,,,,,,,,,,,,,,,,,,,,,,,,,NGC1569,,,,,,,,,,,,T,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,VLA-ANGST,target_registry_not_measurement,,,,,
NGC 2366,,,,,,,,,,,,,,,,,,,,,,,,,NGC2366,,,,,,,,,,,,T,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,VLA-ANGST,target_registry_not_measurement,,,,,
WLM,,,,,,,,,,,,,,,,,,,,,,,,,WLM,,,,,,,,,,,,T,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,VLA-ANGST,target_registry_not_measurement,,,,,
AGC 748778,,,,,,,,,,,,,,,,,,,,,,,,,AGC748778,,,,,,,,,,,,D,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,SHIELD,target_registry_not_measurement,,,,,
AGC 749237,,,,,,,,,,,,,,,,,,,,,,,,,AGC749237,,,,,,,,,,,,D,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,SHIELD,target_registry_not_measurement,,,,,
AGC 110482,,,,,,,,,,,,,,,,,,,,,,,,,AGC110482,,,,,,,,,,,,D,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,SHIELD,target_registry_not_measurement,,,,,
AGC 111164,,,,,,,,,,,,,,,,,,,,,,,,,AGC111164,,,,,,,,,,,,D,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,SHIELD,target_registry_not_measurement,,,,,
AGC 111946,,,,,,,,,,,,,,,,,,,,,,,,,AGC111946,,,,,,,,,,,,D,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,SHIELD,target_registry_not_measurement,,,,,
AGC 112521,,,,,,,,,,,,,,,,,,,,,,,,,AGC112521,,,,,,,,,,,,D,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,SHIELD,target_registry_not_measurement,,,,,
AGC 174585,,,,,,,,,,,,,,,,,,,,,,,,,AGC174585,,,,,,,,,,,,D,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,SHIELD,target_registry_not_measurement,,,,,
AGC 174605,,,,,,,,,,,,,,,,,,,,,,,,,AGC174605,,,,,,,,,,,,D,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,SHIELD,target_registry_not_measurement,,,,,
AGC 182595,,,,,,,,,,,,,,,,,,,,,,,,,AGC182595,,,,,,,,,,,,D,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,SHIELD,target_registry_not_measurement,,,,,
AGC 731457,,,,,,,,,,,,,,,,,,,,,,,,,AGC731457,,,,,,,,,,,,D,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,SHIELD,target_registry_not_measurement,,,,,
AGC 749241,,,,,,,,,,,,,,,,,,,,,,,,,AGC749241,,,,,,,,,,,,D,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,SHIELD,target_registry_not_measurement,,,,,
AGC 749290,,,,,,,,,,,,,,,,,,,,,,,,,AGC749290,,,,,,,,,,,,D,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,SHIELD,target_registry_not_measurement,,,,,
DDO 210,,,,,,,,,,,,,,,,,,,,,,,,,DDO210,,,,,,,,,,,,T,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,FIGGS,target_registry_not_measurement,,,,,
DDO 216,,,,,,,,,,,,,,,,,,,,,,,,,DDO216,,,,,,,,,,,,T,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,FIGGS,target_registry_not_measurement,,,,,
And IV,,,,,,,,,,,,,,,,,,,,,,,,,ANDIV,,,,,,,,,,,,T,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,FIGGS,target_registry_not_measurement,,,,,
KKH 98,,,,,,,,,,,,,,,,,,,,,,,,,KKH98,,,,,,,,,,,,T,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,FIGGS,target_registry_not_measurement,,,,,
UGC 8508,,,,,,,,,,,,,,,,,,,,,,,,,UGC08508,,,,,,,,,,,,T,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,FIGGS,target_registry_not_measurement,,,,,
WLM,,,,,,,,,,,,,,,,,,,,,,,,,WLM,,,,,,,,,,,,T,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,FIGGS,target_registry_not_measurement,,,,,
And IV,,,,,,,,,,,,,,,,,,,,,,,,,ANDIV,,,,,,,,,,,,D,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,FIGGS2,target_registry_not_measurement,,,,,
KKH 98,,,,,,,,,,,,,,,,,,,,,,,,,KKH98,,,,,,,,,,,,D,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,FIGGS2,target_registry_not_measurement,,,,,
Leo T,,,,,,,,,,,,,,,,,,,,,,,,,LEOT,,,,,,,,,,,,D,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,FIGGS2,target_registry_not_measurement,,,,,
UGCA 92,,,,,,,,,,,,,,,,,,,,,,,,,UGCA92,,,,,,,,,,,,D,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,FIGGS2,target_registry_not_measurement,,,,,
NGC 55,,,,,,,,,,,,,,,,,,,,,,,,,NGC0055,,,,,,,,,,,,T,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LVHIS,target_registry_not_measurement,,,,,
NGC 300,,,,,,,,,,,,,,,,,,,,,,,,,NGC0300,,,,,,,,,,,,T,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LVHIS,target_registry_not_measurement,,,,,
IC 5152,,,,,,,,,,,,,,,,,,,,,,,,,IC5152,,,,,,,,,,,,T,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LVHIS,target_registry_not_measurement,,,,,
ESO 215-G009,,,,,,,,,,,,,,,,,,,,,,,,,ESO215G009,,,,,,,,,,,,T,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,LVHIS,target_registry_not_measurement,,,,,
NGC 1566,,,,,,,,,,,,,,,,,,,,,,,,,NGC1566,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,MHONGOOSE,target_registry_not_measurement,,,,,
NGC 5068,,,,,,,,,,,,,,,,,,,,,,,,,NGC5068,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,MHONGOOSE,target_registry_not_measurement,,,,,
NGC 7424,,,,,,,,,,,,,,,,,,,,,,,,,NGC7424,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,MHONGOOSE,target_registry_not_measurement,,,,,
survey_level_watchlist,,,,,,,,,,,,,,,,,,,,,,,,,SURVEYLEVELWATCHLIST,,,,,,,,,,,,needs_source_measurement,predeclared_external_dwarf_target_no_source_level_measurement_ingested,False,False,WALLABY,target_registry_not_measurement,,,,,
