object_name,label_family,candidate_value,candidate_units,source_title,source_year,source_url,source_table,source_field,source_reference_code,evidence_class,same_object_evidence,direct_or_proxy,promotion_ready,promotion_blocker
NGC3741,external morphology,10.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"Ge07,Bm05",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=NGC3741 matched object_name=NGC3741,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
NGC5585,external morphology,7.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"Bl99,Sa96,Co91",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=NGC5585 matched object_name=NGC5585,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
UGC00128,external morphology,8.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"VB99,VH93",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=UGC00128 matched object_name=UGC00128,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
UGC00731,external morphology,10.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"Sw09,Sw02",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=UGC00731 matched object_name=UGC00731,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
UGC01230,external morphology,9.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"dB02,VdH93",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=UGC01230 matched object_name=UGC01230,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
UGC01281,external morphology,8.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"dB02,Sw02",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=UGC01281 matched object_name=UGC01281,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
UGC04278,external morphology,7.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"dB02,Sw02",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=UGC04278 matched object_name=UGC04278,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
UGC04499,external morphology,8.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"Sw09,Sw02",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=UGC04499 matched object_name=UGC04499,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
UGC05005,external morphology,10.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"dB02,VH93",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=UGC05005 matched object_name=UGC05005,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
UGC05721,external morphology,7.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"dB02,Sw02",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=UGC05721 matched object_name=UGC05721,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
UGC06446,external morphology,7.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"VS01,SV98",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=UGC06446 matched object_name=UGC06446,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
UGC06667,external morphology,6.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"VS01,SV98",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=UGC06667 matched object_name=UGC06667,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
UGC07399,external morphology,8.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"Sw09,Sw02",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=UGC07399 matched object_name=UGC07399,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
UGC07524,external morphology,9.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"Sw09,Sw02",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=UGC07524 matched object_name=UGC07524,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
UGC07603,external morphology,7.0,SPARC numerical morphology type T,SPARC Table 1 quality-1 rich input row,,https://astroweb.cwru.edu/SPARC/,data/sparc_lite/sparc_quality1_rich_inputs.csv,T,"Sw09,Sw02",same_object_sparc_table1_external_morphology,SPARC row galaxy_name=UGC07603 matched object_name=UGC07603,direct_external_morphology_not_map_level_dynamics,False,external morphology is same-object morphology but not a Tier A map-level/dynamical label
