object_name,label_family,decision,evidence_class,source_provenance,reason,tier_after_decision,target_role
DDO064,burstiness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
DDO064,centroid offset,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
DDO064,external morphology,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
DDO064,lopsidedness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
DDO064,warp / PA twist,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,no_source_lead_found_or_search_error,unpromoted_missing_label,primary_non_mature_acquisition
DDO161,A/R mismatch,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,no_source_lead_found_or_search_error,unpromoted_missing_label,primary_non_mature_acquisition
DDO161,H I asymmetry,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,no_source_lead_found_or_search_error,unpromoted_missing_label,primary_non_mature_acquisition
DDO161,SFE/depletion,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
DDO161,Vrot/sigma,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
DDO161,burstiness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
DDO161,centroid offset,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
DDO161,external morphology,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
DDO161,lopsidedness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
DDO161,warp / PA twist,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,no_source_lead_found_or_search_error,unpromoted_missing_label,primary_non_mature_acquisition
F563-1,A/R mismatch,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,no_source_lead_found_or_search_error,unpromoted_missing_label,primary_non_mature_acquisition
F563-1,H I asymmetry,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,no_source_lead_found_or_search_error,unpromoted_missing_label,primary_non_mature_acquisition
F563-1,SFE/depletion,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F563-1,Vrot/sigma,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F563-1,burstiness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F563-1,centroid offset,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F563-1,external morphology,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F563-1,lopsidedness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F563-1,warp / PA twist,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,no_source_lead_found_or_search_error,unpromoted_missing_label,primary_non_mature_acquisition
F563-V2,A/R mismatch,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,no_source_lead_found_or_search_error,unpromoted_missing_label,primary_non_mature_acquisition
F563-V2,H I asymmetry,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,no_source_lead_found_or_search_error,unpromoted_missing_label,primary_non_mature_acquisition
F563-V2,SFE/depletion,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F563-V2,Vrot/sigma,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F563-V2,burstiness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F563-V2,centroid offset,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F563-V2,external morphology,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F563-V2,lopsidedness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F563-V2,warp / PA twist,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,no_source_lead_found_or_search_error,unpromoted_missing_label,primary_non_mature_acquisition
F568-V1,A/R mismatch,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,no_source_lead_found_or_search_error,unpromoted_missing_label,primary_non_mature_acquisition
F568-V1,H I asymmetry,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,no_source_lead_found_or_search_error,unpromoted_missing_label,primary_non_mature_acquisition
F568-V1,SFE/depletion,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F568-V1,Vrot/sigma,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F568-V1,burstiness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F568-V1,centroid offset,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F568-V1,external morphology,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F568-V1,lopsidedness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F568-V1,warp / PA twist,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,no_source_lead_found_or_search_error,unpromoted_missing_label,primary_non_mature_acquisition
F583-1,A/R mismatch,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,no_source_lead_found_or_search_error,unpromoted_missing_label,primary_non_mature_acquisition
F583-1,H I asymmetry,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,no_source_lead_found_or_search_error,unpromoted_missing_label,primary_non_mature_acquisition
F583-1,SFE/depletion,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F583-1,Vrot/sigma,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F583-1,burstiness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F583-1,centroid offset,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F583-1,external morphology,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F583-1,lopsidedness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
F583-1,warp / PA twist,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,no_source_lead_found_or_search_error,unpromoted_missing_label,primary_non_mature_acquisition
NGC0100,A/R mismatch,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,no_source_lead_found_or_search_error,unpromoted_missing_label,primary_non_mature_acquisition
NGC0100,H I asymmetry,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,no_source_lead_found_or_search_error,unpromoted_missing_label,primary_non_mature_acquisition
NGC0100,SFE/depletion,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC0100,Vrot/sigma,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC0100,burstiness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC0100,centroid offset,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC0100,external morphology,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC0100,lopsidedness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC0100,warp / PA twist,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,no_source_lead_found_or_search_error,unpromoted_missing_label,primary_non_mature_acquisition
NGC1003,A/R mismatch,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC1003,H I asymmetry,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC1003,SFE/depletion,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC1003,Vrot/sigma,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC1003,burstiness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC1003,centroid offset,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC1003,external morphology,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC1003,lopsidedness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC1003,warp / PA twist,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC3109,A/R mismatch,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC3109,H I asymmetry,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC3109,SFE/depletion,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC3109,Vrot/sigma,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC3109,burstiness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC3109,centroid offset,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC3109,external morphology,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC3109,lopsidedness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC3109,warp / PA twist,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC3741,A/R mismatch,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC3741,H I asymmetry,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC3741,SFE/depletion,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC3741,Vrot/sigma,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC3741,burstiness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC3741,centroid offset,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC3741,external morphology,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC3741,lopsidedness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC3741,warp / PA twist,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC5585,A/R mismatch,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC5585,H I asymmetry,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC5585,SFE/depletion,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC5585,Vrot/sigma,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC5585,burstiness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC5585,centroid offset,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC5585,external morphology,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC5585,lopsidedness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
NGC5585,warp / PA twist,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC00128,A/R mismatch,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC00128,H I asymmetry,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC00128,SFE/depletion,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC00128,Vrot/sigma,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC00128,burstiness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC00128,centroid offset,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC00128,external morphology,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC00128,lopsidedness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC00128,warp / PA twist,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC00731,A/R mismatch,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC00731,H I asymmetry,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC00731,SFE/depletion,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC00731,Vrot/sigma,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC00731,burstiness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC00731,centroid offset,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC00731,external morphology,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC00731,lopsidedness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC00731,warp / PA twist,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC01230,A/R mismatch,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC01230,H I asymmetry,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC01230,SFE/depletion,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC01230,Vrot/sigma,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC01230,burstiness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC01230,centroid offset,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC01230,external morphology,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC01230,lopsidedness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC01230,warp / PA twist,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC01281,A/R mismatch,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC01281,H I asymmetry,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC01281,SFE/depletion,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC01281,Vrot/sigma,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC01281,burstiness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC01281,centroid offset,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC01281,external morphology,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC01281,lopsidedness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC01281,warp / PA twist,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC04278,A/R mismatch,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC04278,H I asymmetry,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC04278,SFE/depletion,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC04278,Vrot/sigma,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC04278,burstiness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC04278,centroid offset,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC04278,external morphology,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC04278,lopsidedness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC04278,warp / PA twist,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC04499,A/R mismatch,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC04499,H I asymmetry,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC04499,SFE/depletion,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC04499,Vrot/sigma,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
UGC04499,burstiness,not_promoted,source_lead_only_or_missing,M64 OpenAlex source-lead search,not_searched_in_bounded_pilot,unpromoted_missing_label,primary_non_mature_acquisition
